Jahr;insgesamt_beschäftigte_nachaltersgruppe_unter 25 Jahre;insgesamt_beschäftigte_nachaltersgruppe_25 bis unter 55 Jahre;insgesamt_beschäftigte_nachaltersgruppe_55 Jahre und älter;insgesamt_beschäftigte_nachaltersgruppe_Keine Angabe;insgesamt_beschäftigte_nachberufsabschluss_Ohne Berufsabschluss;insgesamt_beschäftigte_nachberufsabschluss_Anerkannter Berufsabschluss;insgesamt_beschäftigte_nachberufsabschluss_Akademischer Berufsabschluss;insgesamt_beschäftigte_nachberufsabschluss_Keine Angabe;ausländer_arbeitslose_nachaltersgruppe_unter 25 Jahre;ausländer_arbeitslose_nachaltersgruppe_25 bis unter 55 Jahre;ausländer_arbeitslose_nachaltersgruppe_55 Jahre und älter;ausländer_arbeitslose_nachaltersgruppe_Keine Angabe;ausländer_arbeitslose_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;ausländer_arbeitslose_nachberufsabschluss_Betriebliche/schulische Ausbildung;ausländer_arbeitslose_nachberufsabschluss_Akademische Ausbildung;ausländer_arbeitslose_nachberufsabschluss_Keine Angabe;insgesamt_arbeitslose_nachaltersgruppe_unter 25 Jahre;insgesamt_arbeitslose_nachaltersgruppe_25 bis unter 55 Jahre;insgesamt_arbeitslose_nachaltersgruppe_55 Jahre und älter;insgesamt_arbeitslose_nachaltersgruppe_Keine Angabe;insgesamt_arbeitslose_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;insgesamt_arbeitslose_nachberufsabschluss_Betriebliche/schulische Ausbildung;insgesamt_arbeitslose_nachberufsabschluss_Akademische Ausbildung;insgesamt_arbeitslose_nachberufsabschluss_Keine Angabe;ausländer_arbeitsuchende_nachaltersgruppe_unter 25 Jahre;ausländer_arbeitsuchende_nachaltersgruppe_25 bis unter 55 Jahre;ausländer_arbeitsuchende_nachaltersgruppe_55 Jahre und älter;ausländer_arbeitsuchende_nachaltersgruppe_Keine Angabe;ausländer_arbeitsuchende_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;ausländer_arbeitsuchende_nachberufsabschluss_Betriebliche/schulische Ausbildung;ausländer_arbeitsuchende_nachberufsabschluss_Akademische Ausbildung;ausländer_arbeitsuchende_nachberufsabschluss_Keine Angabe;insgesamt_arbeitsuchende_nachaltersgruppe_unter 25 Jahre;insgesamt_arbeitsuchende_nachaltersgruppe_25 bis unter 55 Jahre;insgesamt_arbeitsuchende_nachaltersgruppe_55 Jahre und älter;insgesamt_arbeitsuchende_nachaltersgruppe_Keine Angabe;insgesamt_arbeitsuchende_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;insgesamt_arbeitsuchende_nachberufsabschluss_Betriebliche/schulische Ausbildung;insgesamt_arbeitsuchende_nachberufsabschluss_Akademische Ausbildung;insgesamt_arbeitsuchende_nachberufsabschluss_Keine Angabe;ausländer_beschäftigte_nachaltersgruppe_unter 25 Jahre;ausländer_beschäftigte_nachaltersgruppe_25 bis unter 55 Jahre;ausländer_beschäftigte_nachaltersgruppe_55 Jahre und älter;ausländer_beschäftigte_nachaltersgruppe_Keine Angabe;ausländer_beschäftigte_nachberufsabschluss_Ohne Berufsabschluss;ausländer_beschäftigte_nachberufsabschluss_Anerkannter Berufsabschluss;ausländer_beschäftigte_nachberufsabschluss_Akademischer Berufsabschluss;ausländer_beschäftigte_nachberufsabschluss_Keine Angabe
2014;4324340;24153340;7046660;20;4492750;20847020;4404700;5779900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;4268570;24347900;7342390;30;4747590;21259350;4689200;5262750;45878.0;453134.0;69206.0;240.0;428513.0;89605.0;37282.0;12841.0;238547.0;1982117.0;573887.0;1140.0;1293852.0;1239872.0;202737.0;58205.0;90025.0;823720.0;13384.0;2250.0;783338.0;164297.0;75649.0;24527.0;429506.0;3432201.0;1000086.0;1256.0;2222238.0;2153946.0;371628.0;115235.0;43482.0;2683580.0;38248.0;100.0;834190.0;1093470.0;397440.0;1175780.0
2016;4273960;24581310;7729550;30;4884540;21656220;5002970;5041130;66938.0;496313.0;71738.0;370.0;454941.0;90372.0;45212.0;44502.0;241168.0;1894551.0;555117.0;1390.0;1262818.0;1137176.0;198452.0;9253.0;15185.0;954718.0;140491.0;3770.0;878215.0;172381.0;101356.0;95485.0;459624.0;3360643.0;977852.0;1595.0;2218868.0;2002093.0;380852.0;197903.0;47855.0;2929990.0;41543.0;100.0;912720.0;1202350.0;457520.0;1251380.0
2017;4342360;24733690;8159480;20;5025760;22014780;5320130;4874880;72138.0;515742.0;73858.0;540.0;430783.0;89059.0;49659.0;92292.0;230694.0;1772979.0;529002.0;1630.0;1156544.0;1027592.0;19352.0;155182.0;187508.0;1063794.0;15081.0;4180.0;880547.0;174651.0;118204.0;229128.0;467463.0;3263930.0;963461.0;1801.0;2098658.0;1847423.0;384446.0;366128.0;53664.0;3183590.0;45257.0;100.0;1007160.0;1307780.0;522220.0;1335640.0
2018;4430130;24843440;8601880;20;5182230;22327760;5635520;4729980;66652.0;492583.0;72995.0;670.0;489268.0;83668.0;4949.0;9871.0;210342.0;1623298.0;506267.0;1750.0;1201554.0;926178.0;185482.0;2687.0;162706.0;1040605.0;15601.0;4750.0;1057607.0;165359.0;118177.0;18653.0;412915.0;3019691.0;948768.0;1929.0;2289873.0;1674228.0;369254.0;49949.0;5987.0;3467440.0;49818.0;100.0;1128220.0;1424280.0;593980.0;1417840.0
2019;4480500;24803590;9018050;10;5287750;22496880;5940280;4577230;64337.0;502841.0;75797.0;600.0;49805.0;84798.0;5239.0;7795.0;205384.0;1561737.0;49945.0;1490.0;1181482.0;877360.0;187322.0;20557.0;141941.0;1024474.0;163362.0;5200.0;1030182.0;164904.0;121318.0;13893.0;386736.0;2883962.0;957521.0;2023.0;2228812.0;1593460.0;370588.0;37383.0;62891.0;3691380.0;54452.0;100.0;1218330.0;1512640.0;668010.0;1465830.0
2020;4296900;24284520;9208630;30;5165270;22252180;6114760;4257870;77589.0;631668.0;95288.0;630.0;619219.0;108953.0;67948.0;8488.0;257362.0;1858818.0;579121.0;1430.0;1408012.0;1027783.0;237875.0;21775.0;139895.0;1106755.0;184065.0;6730.0;1099412.0;185105.0;133161.0;13711.0;424158.0;3113388.0;1050939.0;2249.0;2421727.0;1710298.0;421193.0;37517.0;57849.0;3734130.0;57277.0;100.0;1223700.0;1544300.0;709620.0;1407780.0
2021;4373110;24286550;9504860;20;5279590;22350740;6428440;4105780;66473.0;620865.0;104193.0;590.0;618948.0;102187.0;63113.0;7343.0;226596.0;1775421.0;61134.0;1330.0;1403143.0;969360.0;22193.0;19056.0;121475.0;1068495.0;195863.0;7600.0;1075439.0;175117.0;124099.0;11937.0;384877.0;2956741.0;1092816.0;2491.0;2382907.0;1623019.0;398188.0;32808.0;5965.0;3952300.0;62127.0;100.0;1312720.0;1638350.0;787320.0;1431680.0
2022;4504480;24475470;9848710;20;5461380;22486280;6773410;4107620;69038.0;633196.0;114457.0;1030.0;636707.0;97178.0;68966.0;13943.0;203469.0;1627228.0;587265.0;1720.0;1343698.0;846069.0;204513.0;23853.0;131229.0;1121917.0;214386.0;9890.0;1130030.0;173827.0;144852.0;19813.0;359897.0;2771636.0;1057847.0;3081.0;2313543.0;1455688.0;386547.0;36682.0;6483.0;4297360.0;68498.0;0.0;1424120.0;1749300.0;897790.0;1559440.0
2023;4534320;24459750;10188660;20;5559170;22469930;7064390;4089270;84029.0;741576.0;141453.0;1680.0;733207.0;118307.0;96326.0;19387.0;229313.0;1751871.0;627245.0;2430.0;1453949.0;878518.0;242588.0;33616.0;162413.0;1319008.0;248471.0;1416.0;1278041.0;213214.0;211405.0;28646.0;400407.0;2942285.0;1074860.0;43.0;2446756.0;1460890.0;463048.0;51158.0;68366.0;4572760.0;75413.0;0.0;1510690.0;1833650.0;999770.0;1666440.0
2024;4527670;24339960;10416100;10;5627270;22320220;7318450;4017800;94093.0;784119.0;162537.0;1580.0;759928.0;143486.0;125021.0;12473.0;253611.0;1852061.0;681207.0;2330.0;1530278.0;944434.0;289685.0;22715.0;182725.0;1387962.0;264291.0;9580.0;1298770.0;254311.0;264497.0;18358.0;435068.0;3046865.0;1087507.0;2951.0;2500946.0;1499613.0;536978.0;34853.0;70535.0;4762670.0;81515.0;0.0;1583900.0;1888850.0;1087940.0;1722490.0
