Jahr,Nationalität_Code,Nationalität,Geschlecht,Anzahl,Wanderung_Code,Wanderung_Label
2001,NATD,Deutsche,männlich,61592,BEV011,Fortzüge in das Ausland
2001,NATD,Deutsche,männlich,104695,BEV029,Zuzüge aus dem Ausland
2001,NATD,Deutsche,männlich,43103,BEV012,Wanderungssaldo Ausland
2018,NATD,Deutsche,weiblich,98762,BEV011,Fortzüge in das Ausland
2018,NATD,Deutsche,weiblich,77171,BEV029,Zuzüge aus dem Ausland
2018,NATD,Deutsche,weiblich,-21591,BEV012,Wanderungssaldo Ausland
2017,NATA,Ausländer,männlich,589998,BEV011,Fortzüge in das Ausland
2017,NATA,Ausländer,männlich,843437,BEV029,Zuzüge aus dem Ausland
2017,NATA,Ausländer,männlich,253439,BEV012,Wanderungssaldo Ausland
2010,NATD,Deutsche,weiblich,65557,BEV011,Fortzüge in das Ausland
2010,NATD,Deutsche,weiblich,50364,BEV029,Zuzüge aus dem Ausland
2010,NATD,Deutsche,weiblich,-15193,BEV012,Wanderungssaldo Ausland
2003,NATA,Ausländer,weiblich,178994,BEV011,Fortzüge in das Ausland
2003,NATA,Ausländer,weiblich,253656,BEV029,Zuzüge aus dem Ausland
2003,NATA,Ausländer,weiblich,74662,BEV012,Wanderungssaldo Ausland
2009,NATD,Deutsche,männlich,82987,BEV011,Fortzüge in das Ausland
2009,NATD,Deutsche,männlich,64782,BEV029,Zuzüge aus dem Ausland
2009,NATD,Deutsche,männlich,-18205,BEV012,Wanderungssaldo Ausland
2012,NATD,Deutsche,männlich,70670,BEV011,Fortzüge in das Ausland
2012,NATD,Deutsche,männlich,63520,BEV029,Zuzüge aus dem Ausland
2012,NATD,Deutsche,männlich,-7150,BEV012,Wanderungssaldo Ausland
2020,NATA,Ausländer,männlich,497134,BEV011,Fortzüge in das Ausland
2020,NATA,Ausländer,männlich,611713,BEV029,Zuzüge aus dem Ausland
2020,NATA,Ausländer,männlich,114579,BEV012,Wanderungssaldo Ausland
2005,NATA,Ausländer,männlich,308946,BEV011,Fortzüge in das Ausland
2005,NATA,Ausländer,männlich,339745,BEV029,Zuzüge aus dem Ausland
2005,NATA,Ausländer,männlich,30799,BEV012,Wanderungssaldo Ausland
2007,NATD,Deutsche,weiblich,72378,BEV011,Fortzüge in das Ausland
2007,NATD,Deutsche,weiblich,45959,BEV029,Zuzüge aus dem Ausland
2007,NATD,Deutsche,weiblich,-26419,BEV012,Wanderungssaldo Ausland
2022,NATD,Deutsche,weiblich,107804,BEV011,Fortzüge in das Ausland
2022,NATD,Deutsche,weiblich,70913,BEV029,Zuzüge aus dem Ausland
2022,NATD,Deutsche,weiblich,-36891,BEV012,Wanderungssaldo Ausland
2015,NATA,Ausländer,weiblich,299460,BEV011,Fortzüge in das Ausland
2015,NATA,Ausländer,weiblich,715480,BEV029,Zuzüge aus dem Ausland
2015,NATA,Ausländer,weiblich,416020,BEV012,Wanderungssaldo Ausland
2002,NATD,Deutsche,männlich,65130,BEV011,Fortzüge in das Ausland
2002,NATD,Deutsche,männlich,99803,BEV029,Zuzüge aus dem Ausland
2002,NATD,Deutsche,männlich,34673,BEV012,Wanderungssaldo Ausland
2010,NATA,Ausländer,männlich,331113,BEV011,Fortzüge in das Ausland
2010,NATA,Ausländer,männlich,411187,BEV029,Zuzüge aus dem Ausland
2010,NATA,Ausländer,männlich,80074,BEV012,Wanderungssaldo Ausland
2018,NATA,Ausländer,männlich,617443,BEV011,Fortzüge in das Ausland
2018,NATA,Ausländer,männlich,847585,BEV029,Zuzüge aus dem Ausland
2018,NATA,Ausländer,männlich,230142,BEV012,Wanderungssaldo Ausland
