Stichtag,Bundesland,Geschlecht,Ländergruppierungen_Code,Ländergruppierungen_Label,Anzahl,Ausländer
2024-12-31,Sachsen,männlich,EUROPA-EG-12,EG-12 (bis 31.12.1994),12355,Ausländer
2024-12-31,Saarland,männlich,AFRIKASUED,Südafrika,50,Ausländer
2024-12-31,Hamburg,weiblich,AFRIKA,Afrika,14335,Ausländer
2024-12-31,Bremen,weiblich,AMERIKASUD,Südamerika,985,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),50995,Ausländer
2024-12-31,Sachsen,weiblich,EUROPA-EG-12,EG-12 (bis 31.12.1994),8060,Ausländer
2024-12-31,Thüringen,männlich,AMERIKAMIT2,Mittelamerika und Karibik,390,Ausländer
2024-12-31,Berlin,weiblich,ASIENVOR,Vorderasien,43325,Ausländer
2024-12-31,Bremen,männlich,AUSTRALIEN,Australien und Ozeanien,100,Ausländer
2024-12-31,Berlin,männlich,AUSTRALIEN,Australien und Ozeanien,2330,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,EUROPA-EU-25,EU-25 (bis 31.12.2006),357865,Ausländer
2024-12-31,Bremen,männlich,DRITT-EU-15,Drittstaaten zu EU-15 (bis 30.04.2004),77195,Ausländer
2024-12-31,Niedersachsen,männlich,EUROPA-EU-27-1,EU-27 (seit 01.02.2020),207140,Ausländer
2024-12-31,Baden-Württemberg,männlich,EUROPA-EWG-06,EWG-6 (bis 31.12.1972),120025,Ausländer
2024-12-31,Bremen,weiblich,DRITT-EG-10,Drittstaaten zu EG-10 (bis 31.12.1985),74145,Ausländer
2024-12-31,Thüringen,weiblich,AFRIKASUED,Südafrika,90,Ausländer
2024-12-31,Baden-Württemberg,männlich,LDR-SU,Gebiet der ehemaligen Sowjetunion,103330,Ausländer
2024-12-31,Saarland,weiblich,LDR-CZ,Gebiet der ehemaligen Tschechoslowakei,590,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,AMERIKASUD,Südamerika,2250,Ausländer
2024-12-31,Thüringen,weiblich,EUROPA-EU-27,EU-27 (bis 30.06.2013),22975,Ausländer
2024-12-31,Baden-Württemberg,weiblich,LDR-YU,Gebiet des ehemaligen Jugoslawien,171090,Ausländer
2024-12-31,Brandenburg,weiblich,AMERIKA,Amerika,2480,Ausländer
2024-12-31,Hamburg,weiblich,EUROPA-EU-15,EU-15 (bis 30.04.2004),21200,Ausländer
2024-12-31,Saarland,weiblich,AFRIKAOST,Ostafrika,755,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,AMERIKAMIT2,Mittelamerika und Karibik,350,Ausländer
2024-12-31,Thüringen,männlich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),72685,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),46135,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,EUROPA-EU-27,EU-27 (bis 30.06.2013),482815,Ausländer
2024-12-31,Sachsen,männlich,EUROPA-EG-10,EG-10 (bis 31.12.1985),9095,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,135,Ausländer
2024-12-31,Hessen,männlich,ASIEN,Asien,159725,Ausländer
2024-12-31,Thüringen,weiblich,EUROPA-EU-28,EU-28 (bis 31.01.2020),23455,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,ASIEN,Asien,73325,Ausländer
2024-12-31,Schleswig-Holstein,männlich,ASIENOST2,Ost- und Zentralasien,17055,Ausländer
