Jahr;insgesamt_beschäftigte_nachaltersgruppe_unter 25 Jahre;insgesamt_beschäftigte_nachaltersgruppe_25 bis unter 55 Jahre;insgesamt_beschäftigte_nachaltersgruppe_55 Jahre und älter;insgesamt_beschäftigte_nachaltersgruppe_Keine Angabe;insgesamt_beschäftigte_nachberufsabschluss_Ohne Berufsabschluss;insgesamt_beschäftigte_nachberufsabschluss_Anerkannter Berufsabschluss;insgesamt_beschäftigte_nachberufsabschluss_Akademischer Berufsabschluss;insgesamt_beschäftigte_nachberufsabschluss_Keine Angabe;ausländer_arbeitslose_nachaltersgruppe_unter 25 Jahre;ausländer_arbeitslose_nachaltersgruppe_25 bis unter 55 Jahre;ausländer_arbeitslose_nachaltersgruppe_55 Jahre und älter;ausländer_arbeitslose_nachaltersgruppe_Keine Angabe;ausländer_arbeitslose_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;ausländer_arbeitslose_nachberufsabschluss_Betriebliche/schulische Ausbildung;ausländer_arbeitslose_nachberufsabschluss_Akademische Ausbildung;ausländer_arbeitslose_nachberufsabschluss_Keine Angabe;insgesamt_arbeitslose_nachaltersgruppe_unter 25 Jahre;insgesamt_arbeitslose_nachaltersgruppe_25 bis unter 55 Jahre;insgesamt_arbeitslose_nachaltersgruppe_55 Jahre und älter;insgesamt_arbeitslose_nachaltersgruppe_Keine Angabe;insgesamt_arbeitslose_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;insgesamt_arbeitslose_nachberufsabschluss_Betriebliche/schulische Ausbildung;insgesamt_arbeitslose_nachberufsabschluss_Akademische Ausbildung;insgesamt_arbeitslose_nachberufsabschluss_Keine Angabe;ausländer_arbeitsuchende_nachaltersgruppe_unter 25 Jahre;ausländer_arbeitsuchende_nachaltersgruppe_25 bis unter 55 Jahre;ausländer_arbeitsuchende_nachaltersgruppe_55 Jahre und älter;ausländer_arbeitsuchende_nachaltersgruppe_Keine Angabe;ausländer_arbeitsuchende_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;ausländer_arbeitsuchende_nachberufsabschluss_Betriebliche/schulische Ausbildung;ausländer_arbeitsuchende_nachberufsabschluss_Akademische Ausbildung;ausländer_arbeitsuchende_nachberufsabschluss_Keine Angabe;insgesamt_arbeitsuchende_nachaltersgruppe_unter 25 Jahre;insgesamt_arbeitsuchende_nachaltersgruppe_25 bis unter 55 Jahre;insgesamt_arbeitsuchende_nachaltersgruppe_55 Jahre und älter;insgesamt_arbeitsuchende_nachaltersgruppe_Keine Angabe;insgesamt_arbeitsuchende_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;insgesamt_arbeitsuchende_nachberufsabschluss_Betriebliche/schulische Ausbildung;insgesamt_arbeitsuchende_nachberufsabschluss_Akademische Ausbildung;insgesamt_arbeitsuchende_nachberufsabschluss_Keine Angabe;ausländer_beschäftigte_nachaltersgruppe_unter 25 Jahre;ausländer_beschäftigte_nachaltersgruppe_25 bis unter 55 Jahre;ausländer_beschäftigte_nachaltersgruppe_55 Jahre und älter;ausländer_beschäftigte_nachaltersgruppe_Keine Angabe;ausländer_beschäftigte_nachberufsabschluss_Ohne Berufsabschluss;ausländer_beschäftigte_nachberufsabschluss_Anerkannter Berufsabschluss;ausländer_beschäftigte_nachberufsabschluss_Akademischer Berufsabschluss;ausländer_beschäftigte_nachberufsabschluss_Keine Angabe
2014;4.324.340;24.153.340;7.046.660;20;4.492.750;20.847.020;4.404.700;5.779.900;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2015;4.268.570;24.347.900;7.342.390;30;4.747.590;21.259.350;4.689.200;5.262.750;45.878;453.134;69.206;24;428.513;89.605;37.282;12.841;238.547;1.982.117;573.887;114;1.293.852;1.239.872;202.737;58.205;90.025;823.720;133.840;225;783.338;164.297;75.649;24.527;429.506;3.432.201;1.000.086;1.256;2.222.238;2.153.946;371.628;115.235;434.820;2.683.580;382.480;10;834.190;1.093.470;397.440;1.175.780
2016;4.273.960;24.581.310;7.729.550;30;4.884.540;21.656.220;5.002.970;5.041.130;66.938;496.313;71.738;37;454.941;90.372;45.212;44.502;241.168;1.894.551;555.117;139;1.262.818;1.137.176;198.452;92.530;151.850;954.718;140.491;377;878.215;172.381;101.356;95.485;459.624;3.360.643;977.852;1.595;2.218.868;2.002.093;380.852;197.903;478.550;2.929.990;415.430;10;912.720;1.202.350;457.520;1.251.380
2017;4.342.360;24.733.690;8.159.480;20;5.025.760;22.014.780;5.320.130;4.874.880;72.138;515.742;73.858;54;430.783;89.059;49.659;92.292;230.694;1.772.979;529.002;163;1.156.544;1.027.592;193.520;155.182;187.508;1.063.794;150.810;418;880.547;174.651;118.204;229.128;467.463;3.263.930;963.461;1.801;2.098.658;1.847.423;384.446;366.128;536.640;3.183.590;452.570;10;1.007.160;1.307.780;522.220;1.335.640
2018;4.430.130;24.843.440;8.601.880;20;5.182.230;22.327.760;5.635.520;4.729.980;66.652;492.583;72.995;67;489.268;83.668;49.490;9.871;210.342;1.623.298;506.267;175;1.201.554;926.178;185.482;26.870;162.706;1.040.605;156.010;475;1.057.607;165.359;118.177;18.653;412.915;3.019.691;948.768;1.929;2.289.873;1.674.228;369.254;49.949;598.700;3.467.440;498.180;10;1.128.220;1.424.280;593.980;1.417.840
2019;4.480.500;24.803.590;9.018.050;10;5.287.750;22.496.880;5.940.280;4.577.230;64.337;502.841;75.797;60;498.050;84.798;52.390;7.795;205.384;1.561.737;499.450;149;1.181.482;877.360;187.322;20.557;141.941;1.024.474;163.362;520;1.030.182;164.904;121.318;13.893;386.736;2.883.962;957.521;2.023;2.228.812;1.593.460;370.588;37.383;628.910;3.691.380;544.520;10;1.218.330;1.512.640;668.010;1.465.830
2020;4.296.900;24.284.520;9.208.630;30;5.165.270;22.252.180;6.114.760;4.257.870;77.589;631.668;95.288;63;619.219;108.953;67.948;8.488;257.362;1.858.818;579.121;143;1.408.012;1.027.783;237.875;21.775;139.895;1.106.755;184.065;673;1.099.412;185.105;133.161;13.711;424.158;3.113.388;1.050.939;2.249;2.421.727;1.710.298;421.193;37.517;578.490;3.734.130;572.770;10;1.223.700;1.544.300;709.620;1.407.780
2021;4.373.110;24.286.550;9.504.860;20;5.279.590;22.350.740;6.428.440;4.105.780;66.473;620.865;104.193;59;618.948;102.187;63.113;7.343;226.596;1.775.421;611.340;133;1.403.143;969.360;221.930;19.056;121.475;1.068.495;195.863;760;1.075.439;175.117;124.099;11.937;384.877;2.956.741;1.092.816;2.491;2.382.907;1.623.019;398.188;32.808;596.500;3.952.300;621.270;10;1.312.720;1.638.350;787.320;1.431.680
2022;4.504.480;24.475.470;9.848.710;20;5.461.380;22.486.280;6.773.410;4.107.620;69.038;633.196;114.457;103;636.707;97.178;68.966;13.943;203.469;1.627.228;587.265;172;1.343.698;846.069;204.513;23.853;131.229;1.121.917;214.386;989;1.130.030;173.827;144.852;19.813;359.897;2.771.636;1.057.847;3.081;2.313.543;1.455.688;386.547;36.682;648.300;4.297.360;684.980;0;1.424.120;1.749.300;897.790;1.559.440
2023;4.534.320;24.459.750;10.188.660;20;5.559.170;22.469.930;7.064.390;4.089.270;84.029;741.576;141.453;168;733.207;118.307;96.326;19.387;229.313;1.751.871;627.245;243;1.453.949;878.518;242.588;33.616;162.413;1.319.008;248.471;1.416;1.278.041;213.214;211.405;28.646;400.407;2.942.285;1.074.860;4.300;2.446.756;1.460.890;463.048;51.158;683.660;4.572.760;754.130;0;1.510.690;1.833.650;999.770;1.666.440
