"Jahr";"Frauen Beschäftigte ";"Männer Beschäftigte ";"Beschäftigte "
"2014";"15.941.650";"16.359.780";"32.301.430"
"2015";"16.032.380";"16.425.340";"32.457.720"
"2016";"16.170.990";"16.589.630";"32.760.620"
"2017";"16.300.060";"16.762.470";"33.062.530"
"2018";"16.398.310";"16.912.640";"33.310.960"
"2019";"16.452.640";"16.984.320";"33.436.960"
"2020";"16.168.630";"16.735.510";"32.904.140"
"2021";"16.206.300";"16.787.440";"32.993.740"
"2022";"16.311.020";"16.886.490";"33.197.510"
"2023";"16.289.240";"16.882.810";"33.172.050"
"2024";"16.210.430";"16.790.030";"33.000.460"
