Jahr;insgesamt_beschäftigte_nachaltersgruppe_unter 25 Jahre;insgesamt_beschäftigte_nachaltersgruppe_25 bis unter 55 Jahre;insgesamt_beschäftigte_nachaltersgruppe_55 Jahre und älter;insgesamt_beschäftigte_nachaltersgruppe_Keine Angabe;insgesamt_beschäftigte_nachberufsabschluss_Ohne Berufsabschluss;insgesamt_beschäftigte_nachberufsabschluss_Anerkannter Berufsabschluss;insgesamt_beschäftigte_nachberufsabschluss_Akademischer Berufsabschluss;insgesamt_beschäftigte_nachberufsabschluss_Keine Angabe;ausländer_arbeitslose_nachaltersgruppe_unter 25 Jahre;ausländer_arbeitslose_nachaltersgruppe_25 bis unter 55 Jahre;ausländer_arbeitslose_nachaltersgruppe_55 Jahre und älter;ausländer_arbeitslose_nachaltersgruppe_Keine Angabe;ausländer_arbeitslose_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;ausländer_arbeitslose_nachberufsabschluss_Betriebliche/schulische Ausbildung;ausländer_arbeitslose_nachberufsabschluss_Akademische Ausbildung;ausländer_arbeitslose_nachberufsabschluss_Keine Angabe;insgesamt_arbeitslose_nachaltersgruppe_unter 25 Jahre;insgesamt_arbeitslose_nachaltersgruppe_25 bis unter 55 Jahre;insgesamt_arbeitslose_nachaltersgruppe_55 Jahre und älter;insgesamt_arbeitslose_nachaltersgruppe_Keine Angabe;insgesamt_arbeitslose_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;insgesamt_arbeitslose_nachberufsabschluss_Betriebliche/schulische Ausbildung;insgesamt_arbeitslose_nachberufsabschluss_Akademische Ausbildung;insgesamt_arbeitslose_nachberufsabschluss_Keine Angabe;ausländer_arbeitsuchende_nachaltersgruppe_unter 25 Jahre;ausländer_arbeitsuchende_nachaltersgruppe_25 bis unter 55 Jahre;ausländer_arbeitsuchende_nachaltersgruppe_55 Jahre und älter;ausländer_arbeitsuchende_nachaltersgruppe_Keine Angabe;ausländer_arbeitsuchende_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;ausländer_arbeitsuchende_nachberufsabschluss_Betriebliche/schulische Ausbildung;ausländer_arbeitsuchende_nachberufsabschluss_Akademische Ausbildung;ausländer_arbeitsuchende_nachberufsabschluss_Keine Angabe;insgesamt_arbeitsuchende_nachaltersgruppe_unter 25 Jahre;insgesamt_arbeitsuchende_nachaltersgruppe_25 bis unter 55 Jahre;insgesamt_arbeitsuchende_nachaltersgruppe_55 Jahre und älter;insgesamt_arbeitsuchende_nachaltersgruppe_Keine Angabe;insgesamt_arbeitsuchende_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;insgesamt_arbeitsuchende_nachberufsabschluss_Betriebliche/schulische Ausbildung;insgesamt_arbeitsuchende_nachberufsabschluss_Akademische Ausbildung;insgesamt_arbeitsuchende_nachberufsabschluss_Keine Angabe;ausländer_beschäftigte_nachaltersgruppe_unter 25 Jahre;ausländer_beschäftigte_nachaltersgruppe_25 bis unter 55 Jahre;ausländer_beschäftigte_nachaltersgruppe_55 Jahre und älter;ausländer_beschäftigte_nachaltersgruppe_Keine Angabe;ausländer_beschäftigte_nachberufsabschluss_Ohne Berufsabschluss;ausländer_beschäftigte_nachberufsabschluss_Anerkannter Berufsabschluss;ausländer_beschäftigte_nachberufsabschluss_Akademischer Berufsabschluss;ausländer_beschäftigte_nachberufsabschluss_Keine Angabe
2014;4324340;24153340;7046660;20;4492750;20847020;4404700;5779900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;4268570;24347900;7342390;30;4747590;21259350;4689200;5262750;45878;453134;69206;24;428513;89605;37282;12841;238547;1982117;573887;114;1293852;1239872;202737;58205;90025;823720;133840;225;783338;164297;75649;24527;429506;3432201;1000086;1256;2222238;2153946;371628;115235;434820;2683580;382480;10;834190;1093470;397440;1175780
2016;4273960;24581310;7729550;30;4884540;21656220;5002970;5041130;66938;496313;71738;37;454941;90372;45212;44502;241168;1894551;555117;139;1262818;1137176;198452;92530;151850;954718;140491;377;878215;172381;101356;95485;459624;3360643;977852;1595;2218868;2002093;380852;197903;478550;2929990;415430;10;912720;1202350;457520;1251380
2017;4342360;24733690;8159480;20;5025760;22014780;5320130;4874880;72138;515742;73858;54;430783;89059;49659;92292;230694;1772979;529002;163;1156544;1027592;193520;155182;187508;1063794;150810;418;880547;174651;118204;229128;467463;3263930;963461;1801;2098658;1847423;384446;366128;536640;3183590;452570;10;1007160;1307780;522220;1335640
2018;4430130;24843440;8601880;20;5182230;22327760;5635520;4729980;66652;492583;72995;67;489268;83668;49490;9871;210342;1623298;506267;175;1201554;926178;185482;26870;162706;1040605;156010;475;1057607;165359;118177;18653;412915;3019691;948768;1929;2289873;1674228;369254;49949;598700;3467440;498180;10;1128220;1424280;593980;1417840
2019;4480500;24803590;9018050;10;5287750;22496880;5940280;4577230;64337;502841;75797;60;498050;84798;52390;7795;205384;1561737;499450;149;1181482;877360;187322;20557;141941;1024474;163362;520;1030182;164904;121318;13893;386736;2883962;957521;2023;2228812;1593460;370588;37383;628910;3691380;544520;10;1218330;1512640;668010;1465830
2020;4296900;24284520;9208630;30;5165270;22252180;6114760;4257870;77589;631668;95288;63;619219;108953;67948;8488;257362;1858818;579121;143;1408012;1027783;237875;21775;139895;1106755;184065;673;1099412;185105;133161;13711;424158;3113388;1050939;2249;2421727;1710298;421193;37517;578490;3734130;572770;10;1223700;1544300;709620;1407780
2021;4373110;24286550;9504860;20;5279590;22350740;6428440;4105780;66473;620865;104193;59;618948;102187;63113;7343;226596;1775421;611340;133;1403143;969360;221930;19056;121475;1068495;195863;760;1075439;175117;124099;11937;384877;2956741;1092816;2491;2382907;1623019;398188;32808;596500;3952300;621270;10;1312720;1638350;787320;1431680
2022;4504480;24475470;9848710;20;5461380;22486280;6773410;4107620;69038;633196;114457;103;636707;97178;68966;13943;203469;1627228;587265;172;1343698;846069;204513;23853;131229;1121917;214386;989;1130030;173827;144852;19813;359897;2771636;1057847;3081;2313543;1455688;386547;36682;648300;4297360;684980;0;1424120;1749300;897790;1559440
2023;4534320;24459750;10188660;20;5559170;22469930;7064390;4089270;84029;741576;141453;168;733207;118307;96326;19387;229313;1751871;627245;243;1453949;878518;242588;33616;162413;1319008;248471;1416;1278041;213214;211405;28646;400407;2942285;1074860;4300;2446756;1460890;463048;51158;683660;4572760;754130;0;1510690;1833650;999770;1666440
2024;4527670;24339960;10416100;10;5627270;22320220;7318450;4017800;94093;784119;162537;158;759928;143486;125021;12473;253611;1852061;681207;233;1530278;944434;289685;22715;182725;1387962;264291;958;1298770;254311;264497;18358;435068;3046865;1087507;2951;2500946;1499613;536978;34853;705350;4762670;815150;0;1583900;1888850;1087940;1722490
