Jahr;ausländer_arbeitslose_nachaltersgruppe_25 bis unter 55 Jahre;ausländer_arbeitslose_nachaltersgruppe_55 Jahre und älter;ausländer_arbeitslose_nachaltersgruppe_Keine Angabe;ausländer_arbeitslose_nachaltersgruppe_unter 25 Jahre;ausländer_arbeitslose_nachberufsabschluss_Akademische Ausbildung;ausländer_arbeitslose_nachberufsabschluss_Betriebliche/schulische Ausbildung;ausländer_arbeitslose_nachberufsabschluss_Keine Angabe;ausländer_arbeitslose_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;ausländer_arbeitslose_nachgeschlecht_Frauen;ausländer_arbeitslose_nachgeschlecht_Maenner;ausländer_arbeitsuchende_nachaltersgruppe_25 bis unter 55 Jahre;ausländer_arbeitsuchende_nachaltersgruppe_55 Jahre und älter;ausländer_arbeitsuchende_nachaltersgruppe_Keine Angabe;ausländer_arbeitsuchende_nachaltersgruppe_unter 25 Jahre;ausländer_arbeitsuchende_nachberufsabschluss_Akademische Ausbildung;ausländer_arbeitsuchende_nachberufsabschluss_Betriebliche/schulische Ausbildung;ausländer_arbeitsuchende_nachberufsabschluss_Keine Angabe;ausländer_arbeitsuchende_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;ausländer_arbeitsuchende_nachgeschlecht_Frauen;ausländer_arbeitsuchende_nachgeschlecht_Maenner;ausländer_auszubildende_nachgeschlecht_Frauen;ausländer_auszubildende_nachgeschlecht_Maenner;ausländer_beschäftigte_nachaltersgruppe_25 bis unter 55 Jahre;ausländer_beschäftigte_nachaltersgruppe_55 Jahre und älter;ausländer_beschäftigte_nachaltersgruppe_Keine Angabe;ausländer_beschäftigte_nachaltersgruppe_unter 25 Jahre;ausländer_beschäftigte_nachberufsabschluss_Akademischer Berufsabschluss;ausländer_beschäftigte_nachberufsabschluss_Anerkannter Berufsabschluss;ausländer_beschäftigte_nachberufsabschluss_Keine Angabe;ausländer_beschäftigte_nachberufsabschluss_Ohne Berufsabschluss;ausländer_beschäftigte_nachgeschlecht_Frauen;ausländer_beschäftigte_nachgeschlecht_Maenner;insgesamt_arbeitslose_nachaltersgruppe_25 bis unter 55 Jahre;insgesamt_arbeitslose_nachaltersgruppe_55 Jahre und älter;insgesamt_arbeitslose_nachaltersgruppe_Keine Angabe;insgesamt_arbeitslose_nachaltersgruppe_unter 25 Jahre;insgesamt_arbeitslose_nachberufsabschluss_Akademische Ausbildung;insgesamt_arbeitslose_nachberufsabschluss_Betriebliche/schulische Ausbildung;insgesamt_arbeitslose_nachberufsabschluss_Keine Angabe;insgesamt_arbeitslose_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;insgesamt_arbeitslose_nachgeschlecht_Frauen;insgesamt_arbeitslose_nachgeschlecht_Maenner;insgesamt_arbeitsuchende_nachaltersgruppe_25 bis unter 55 Jahre;insgesamt_arbeitsuchende_nachaltersgruppe_55 Jahre und älter;insgesamt_arbeitsuchende_nachaltersgruppe_Keine Angabe;insgesamt_arbeitsuchende_nachaltersgruppe_unter 25 Jahre;insgesamt_arbeitsuchende_nachberufsabschluss_Akademische Ausbildung;insgesamt_arbeitsuchende_nachberufsabschluss_Betriebliche/schulische Ausbildung;insgesamt_arbeitsuchende_nachberufsabschluss_Keine Angabe;insgesamt_arbeitsuchende_nachberufsabschluss_Ohne abgeschlossene Berufsausbildung;insgesamt_arbeitsuchende_nachgeschlecht_Frauen;insgesamt_arbeitsuchende_nachgeschlecht_Maenner;insgesamt_auszubildende_nachgeschlecht_Frauen;insgesamt_auszubildende_nachgeschlecht_Maenner;insgesamt_beschäftigte_nachaltersgruppe_25 bis unter 55 Jahre;insgesamt_beschäftigte_nachaltersgruppe_55 Jahre und älter;insgesamt_beschäftigte_nachaltersgruppe_Keine Angabe;insgesamt_beschäftigte_nachaltersgruppe_unter 25 Jahre;insgesamt_beschäftigte_nachberufsabschluss_Akademischer Berufsabschluss;insgesamt_beschäftigte_nachberufsabschluss_Anerkannter Berufsabschluss;insgesamt_beschäftigte_nachberufsabschluss_Keine Angabe;insgesamt_beschäftigte_nachberufsabschluss_Ohne Berufsabschluss;insgesamt_beschäftigte_nachgeschlecht_Frauen;insgesamt_beschäftigte_nachgeschlecht_Maenner
2014;;;;;;;;;;;;;;;;;;;;;43110;44930;;;;;;;;;1392630;1829560;;;;;;;;;;;;;;;;;;;;;603610;770670;24153340;7046660;20;4324340;4404700;20847020;5779900;4492750;17334670;18189690
2015;453134;69206;24;45878;37282;89605;12841;428513;271816;296426;823720;133840;225;90025;75649;164297;24527;783338;486863;560948;44950;46210;2683580;382480;10;434820;397440;1093470;1175780;834190;1497300;2003590;1982117;573887;114;238547;202737;1239872;58205;1293852;1277453;1517211;3432201;1000086;1256;429506;371628;2153946;115235;2222238;2300777;2562270;586800;744580;24347900;7342390;30;4268570;4689200;21259350;5262750;4747590;17529810;18429080
2016;496313;71738;37;66938;45212;90372;44502;454941;285258;349764;954718;140491;377;151850;101356;172381;95485;878215;524808;722611;48650;51920;2929990;415430;10;478550;457520;1202350;1251380;912720;1610680;2213290;1894551;555117;139;241168;198452;1137176;92530;1262818;1208251;1482721;3360643;977852;1595;459624;380852;2002093;197903;2218868;2208311;2591383;575810;739770;24581310;7729550;30;4273960;5002970;21656220;5041130;4884540;17781800;18803060
2017;515742;73858;54;72138;49659;89059;92292;430783;295410;366378;1063794;150810;418;187508;118204;174651;229128;880547;571533;830976;52610;63210;3183590;452570;10;536640;522220;1307780;1335640;1007160;1715740;2457060;1772979;529002;163;230694;193520;1027592;155182;1156544;1134724;1398108;3263930;963461;1801;467463;384446;1847423;366128;2098658;2133874;2562753;572960;744380;24733690;8159480;20;4342360;5320130;22014780;4874880;5025760;18015900;19219650
2018;492583;72995;67;66652;49490;83668;9871;489268;282843;349453;1040605;156010;475;162706;118177;165359;18653;1057607;570493;789295;56030;77950;3467440;498180;10;598700;593980;1424280;1417840;1128220;1835250;2729070;1623298;506267;175;210342;185482;926178;26870;1201554;1047958;1292123;3019691;948768;1929;412915;369254;1674228;49949;2289873;2005501;2377788;563380;748110;24843440;8601880;20;4430130;5635520;22327760;4729980;5182230;18233660;19641830
2019;502841;75797;60;64337;52390;84798;7795;498050;287420;355611;1024474;163362;520;141941;121318;164904;13893;1030182;573108;757179;61330;93020;3691380;544520;10;628910;668010;1512640;1465830;1218330;1941300;2923510;1561737;499450;149;205384;187322;877360;20557;1181482;1003830;1262887;2883962;957521;2023;386736;370588;1593460;37383;2228812;1933567;2296652;576650;776570;24803590;9018050;10;4480500;5940280;22496880;4577230;5287750;18394070;19908070
2020;631668;95288;63;77589;67948;108953;8488;619219;355541;449062;1106755;184065;673;139895;133161;185105;13711;1099412;623314;808058;68480;103680;3734130;572770;10;578490;709620;1544300;1407780;1223700;1949680;2935720;1858818;579121;143;257362;237875;1027783;21775;1408012;1174838;1520596;3113388;1050939;2249;424158;421193;1710298;37517;2421727;2077877;2512818;608090;823900;24284520;9208630;30;4296900;6114760;22252180;4257870;5165270;18118520;19671550
2021;620865;104193;59;66473;63113;102187;7343;618948;365688;425898;1068495;195863;760;121475;124099;175117;11937;1075439;620829;765745;70890;97760;3952300;621270;10;596500;787320;1638350;1431680;1312720;2055760;3114310;1775421;611340;133;226596;221930;969360;19056;1403143;1158934;1454544;2956741;1092816;2491;384877;398188;1623019;32808;2382907;2023377;2413505;584930;785000;24286550;9504860;20;4373110;6428440;22350740;4105780;5279590;18262350;19902200
2022;633196;114457;103;69038;68966;97178;13943;636707;411949;404842;1121917;214386;989;131229;144852;173827;19813;1130030;726123;742375;73840;90640;4297360;684980;0;648300;897790;1749300;1559440;1424120;2269970;3360670;1627228;587265;172;203469;204513;846069;23853;1343698;1105541;1312584;2771636;1057847;3081;359897;386547;1455688;36682;2313543;1984792;2207618;573370;760220;24475470;9848710;20;4504480;6773410;22486280;4107620;5461380;18581210;20247480
2023;741576;141453;168;84029;96326;118307;19387;733207;488391;478835;1319008;248471;1416;162413;211405;213214;28646;1278041;878589;852718;79320;87440;4572760;754130;0;683660;999770;1833650;1666440;1510690;2439360;3571190;1751871;627245;243;229313;242588;878518;33616;1453949;1196262;1412410;2942285;1074860;4300;400407;463048;1460890;51158;2446756;2112658;2309194;563020;742120;24459750;10188660;20;4534320;7064390;22469930;4089270;5559170;18728690;20454060
