Jahr,Bundesland,Mit Migrationshintergrund,Ohne Migrationshintergrund,Alter
2022,Baden-Württemberg,24743,58344,3 - 6
2022,Bayern,27439,83883,3 - 6
2022,Berlin,15739,33588,3 - 6
2022,Brandenburg,3000,28562,3 - 6
2022,Bremen,1746,3601,3 - 6
2022,Hamburg,11278,16160,3 - 6
2022,Hessen,17290,32178,3 - 6
2022,Mecklenburg-Vorpommern,1633,17857,3 - 6
2022,Niedersachsen,11913,49182,3 - 6
2022,Nordrhein-Westfalen,24164,80313,3 - 6
2022,Rheinland-Pfalz,7899,24230,3 - 6
2022,Saarland,1320,5781,3 - 6
2022,Sachsen,4641,43485,3 - 6
2022,Sachsen-Anhalt,2642,25693,3 - 6
2022,Schleswig-Holstein,3042,18561,3 - 6
2022,Thüringen,2625,23261,3 - 6
2023,Baden-Württemberg,24743,58344,3 - 6
2023,Bayern,27439,83883,3 - 6
2023,Berlin,15739,33588,3 - 6
2023,Brandenburg,3000,28562,3 - 6
2023,Bremen,1746,3601,3 - 6
2023,Hamburg,11278,16160,3 - 6
2023,Hessen,17290,32178,3 - 6
2023,Mecklenburg-Vorpommern,1633,17857,3 - 6
2023,Niedersachsen,11913,49182,3 - 6
2023,Nordrhein-Westfalen,24164,80313,3 - 6
2023,Rheinland-Pfalz,7899,24230,3 - 6
2023,Saarland,1320,5781,3 - 6
2023,Sachsen,4641,43485,3 - 6
2023,Sachsen-Anhalt,2642,25693,3 - 6
2023,Schleswig-Holstein,3042,18561,3 - 6
2023,Thüringen,2625,23261,3 - 6
2021,Baden-Württemberg,23487,55726,3 - 6
2021,Bayern,25885,78705,3 - 6
2021,Berlin,14316,33724,3 - 6
2021,Brandenburg,2842,28956,3 - 6
2021,Bremen,2360,2833,3 - 6
2021,Hamburg,10377,15992,3 - 6
2021,Hessen,16260,31119,3 - 6
2021,Mecklenburg-Vorpommern,1491,17898,3 - 6
2021,Niedersachsen,10596,45842,3 - 6
2021,Nordrhein-Westfalen,24362,77489,3 - 6
2021,Rheinland-Pfalz,7738,22763,3 - 6
2021,Saarland,1317,5283,3 - 6
2021,Sachsen,4197,44117,3 - 6
2021,Sachsen-Anhalt,2312,25884,3 - 6
2021,Schleswig-Holstein,3015,17503,3 - 6
2021,Thüringen,2346,23767,3 - 6
2020,Baden-Württemberg,25218,57882,3 - 6
2020,Bayern,25820,79129,3 - 6
2020,Berlin,14159,34170,3 - 6
2020,Brandenburg,2880,29975,3 - 6
2020,Bremen,2224,2878,3 - 6
2020,Hamburg,10225,16048,3 - 6
2020,Hessen,16797,32137,3 - 6
2020,Mecklenburg-Vorpommern,1463,18017,3 - 6
2020,Niedersachsen,11054,46562,3 - 6
2020,Nordrhein-Westfalen,24373,76280,3 - 6
2020,Rheinland-Pfalz,8635,24194,3 - 6
2020,Saarland,1457,5127,3 - 6
2020,Sachsen,4064,45972,3 - 6
2020,Sachsen-Anhalt,2499,27451,3 - 6
2020,Schleswig-Holstein,3486,17083,3 - 6
2020,Thüringen,2357,25432,3 - 6
