Bundesland,Bildungsbereich,Schulart,Anzahl,Geschlecht,Herkunft
Baden-Württemberg 1,Vorschulbereich,Schulkindergärten,4004,männlich,deutsch
Baden-Württemberg 1,Primarbereich,Grundschulen,144699,männlich,deutsch
Baden-Württemberg 1,Primarbereich,Integrierte Gesamtschulen,21302,männlich,deutsch
Baden-Württemberg 1,Primarbereich,Freie Waldorfschulen,3603,männlich,deutsch
Baden-Württemberg 1,Sekundarbereich I,Hauptschulen,17542,männlich,deutsch
Baden-Württemberg 1,Sekundarbereich I,Realschulen,96664,männlich,deutsch
Baden-Württemberg 1,Sekundarbereich I,Gymnasien,90049,männlich,deutsch
Baden-Württemberg 1,Sekundarbereich I,Integrierte Gesamtschulen,37700,männlich,deutsch
Baden-Württemberg 1,Sekundarbereich I,Freie Waldorfschulen,5156,männlich,deutsch
Baden-Württemberg 1,Sekundarbereich I,Abendrealschulen,367,männlich,deutsch
Baden-Württemberg 1,Sekundarbereich II,Gymnasien,41570,männlich,deutsch
Baden-Württemberg 1,Sekundarbereich II,Integrierte Gesamtschulen,430,männlich,deutsch
Baden-Württemberg 1,Sekundarbereich II,Freie Waldorfschulen,1944,männlich,deutsch
Baden-Württemberg 1,Sekundarbereich II,Abendgymnasien,561,männlich,deutsch
Baden-Württemberg 1,Sekundarbereich II,Kollegs,155,männlich,deutsch
Baden-Württemberg 1,Keinem Bereich zugeordnet,Förderschulen,26730,männlich,deutsch
Bayern,Primarbereich,Grundschulen,195671,männlich,deutsch
Bayern,Primarbereich,Freie Waldorfschulen,1488,männlich,deutsch
Bayern,Sekundarbereich I,Schulartunabhängige Orientierungsstufe,203,männlich,deutsch
Bayern,Sekundarbereich I,Hauptschulen,82471,männlich,deutsch
Bayern,Sekundarbereich I,Realschulen,107959,männlich,deutsch
Bayern,Sekundarbereich I,Gymnasien,94324,männlich,deutsch
Bayern,Sekundarbereich I,Integrierte Gesamtschulen,878,männlich,deutsch
Bayern,Sekundarbereich I,Freie Waldorfschulen,2097,männlich,deutsch
Bayern,Sekundarbereich I,Abendrealschulen,98,männlich,deutsch
Bayern,Sekundarbereich II,Gymnasien,48047,männlich,deutsch
Bayern,Sekundarbereich II,Freie Waldorfschulen,787,männlich,deutsch
Bayern,Sekundarbereich II,Abendgymnasien,245,männlich,deutsch
Bayern,Sekundarbereich II,Kollegs,392,männlich,deutsch
Bayern,Keinem Bereich zugeordnet,Förderschulen,29158,männlich,deutsch
Berlin,Primarbereich,Grundschulen,50925,männlich,deutsch
Berlin,Primarbereich,Integrierte Gesamtschulen,4263,männlich,deutsch
Berlin,Primarbereich,Freie Waldorfschulen,776,männlich,deutsch
Berlin,Sekundarbereich I,Schulartunabhängige Orientierungsstufe,22129,männlich,deutsch
Berlin,Sekundarbereich I,Gymnasien,18933,männlich,deutsch
Berlin,Sekundarbereich I,Integrierte Gesamtschulen,32038,männlich,deutsch
Berlin,Sekundarbereich I,Freie Waldorfschulen,977,männlich,deutsch
Berlin,Sekundarbereich I,Abendhauptschulen,69,männlich,deutsch
Berlin,Sekundarbereich I,Abendrealschulen,239,männlich,deutsch
Berlin,Sekundarbereich II,Gymnasien,14775,männlich,deutsch
Berlin,Sekundarbereich II,Integrierte Gesamtschulen,6455,männlich,deutsch
Berlin,Sekundarbereich II,Freie Waldorfschulen,375,männlich,deutsch
Berlin,Sekundarbereich II,Abendgymnasien,157,männlich,deutsch
Berlin,Sekundarbereich II,Kollegs,566,männlich,deutsch
Berlin,Keinem Bereich zugeordnet,Förderschulen,4331,männlich,deutsch
Brandenburg,Primarbereich,Grundschulen,42704,männlich,deutsch
Brandenburg,Primarbereich,Integrierte Gesamtschulen,286,männlich,deutsch
Brandenburg,Primarbereich,Freie Waldorfschulen,263,männlich,deutsch
Brandenburg,Sekundarbereich I,Schulartunabhängige Orientierungsstufe,19847,männlich,deutsch
Brandenburg,Sekundarbereich I,Schularten mit mehreren Bildungsgängen,17483,männlich,deutsch
Brandenburg,Sekundarbereich I,Gymnasien,12793,männlich,deutsch
Brandenburg,Sekundarbereich I,Integrierte Gesamtschulen,7230,männlich,deutsch
Brandenburg,Sekundarbereich I,Freie Waldorfschulen,361,männlich,deutsch
Brandenburg,Sekundarbereich I,Abendrealschulen,317,männlich,deutsch
Brandenburg,Sekundarbereich II,Gymnasien,10908,männlich,deutsch
Brandenburg,Sekundarbereich II,Integrierte Gesamtschulen,2700,männlich,deutsch
Brandenburg,Sekundarbereich II,Freie Waldorfschulen,146,männlich,deutsch
Brandenburg,Sekundarbereich II,Abendgymnasien,136,männlich,deutsch
Brandenburg,Sekundarbereich II,Kollegs,82,männlich,deutsch
Brandenburg,Keinem Bereich zugeordnet,Förderschulen,5393,männlich,deutsch
Bremen,Vorschulbereich,Vorklassen,8,männlich,deutsch
Bremen,Primarbereich,Grundschulen,9212,männlich,deutsch
Bremen,Primarbereich,Freie Waldorfschulen,140,männlich,deutsch
Bremen,Sekundarbereich I,Gymnasien,3201,männlich,deutsch
Bremen,Sekundarbereich I,Integrierte Gesamtschulen,10493,männlich,deutsch
