,Jahr,Rechtsgrundlagen,Value
0,2000,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",1144
1,2000,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,50
2,2000,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
3,2000,"§10 Abs.1 StAG, Aufenthalt in Deutschland",0
4,2000,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",0
5,2000,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
6,2000,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
7,2000,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
8,2000,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",11
9,2000,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",6
10,2000,"§13 StAG, Ehemalige Deutsche im Ausland lebend",21
11,2000,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",12
12,2000,§15 StAG Bundesbeamte im Ausland (bis 2004),1
13,2000,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
14,2000,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",507
15,2000,"§21 HAuslG, Heimatlose Ausländer",294
16,2000,"§40b StAG, Übergangsregelung für Kinder",20181
17,2000,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",0
18,2000,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
19,2000,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
20,2000,"§8 StAG, Niederlassung in Deutschland auf Dauer",15440
21,2000,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",119
22,2000,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",53635
23,2000,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",19606
24,2000,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",11604
25,2000,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",28070
26,2000,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",22649
27,2000,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",533
28,2000,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",9
29,2000,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
30,2000,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",12780
31,2000,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",0
32,2001,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",1716
33,2001,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,30
34,2001,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
35,2001,"§10 Abs.1 StAG, Aufenthalt in Deutschland",0
36,2001,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",0
