,STAG,Nationalität,Value
0,1970-12-31,Deutsche,58263259
1,1971-12-31,Deutsche,58314646
2,1972-12-31,Deutsche,58255300
3,1973-12-31,Deutsche,58110017
4,1974-12-31,Deutsche,57940513
5,1975-12-31,Deutsche,57744140
6,1976-12-31,Deutsche,57589814
7,1977-12-31,Deutsche,57460519
8,1978-12-31,Deutsche,57315844
9,1979-12-31,Deutsche,57188694
10,1980-12-31,Deutsche,57091778
11,1981-12-31,Deutsche,56991569
12,1982-12-31,Deutsche,56874263
13,1983-12-31,Deutsche,56732513
14,1984-12-31,Deutsche,56643793
15,1985-12-31,Deutsche,56538856
16,1986-12-31,Deutsche,56478581
17,1987-12-31,Deutsche,56951607
18,1988-12-31,Deutsche,57091575
19,1989-12-31,Deutsche,57671874
20,1990-12-31,Deutsche,74170870
21,1991-12-31,Deutsche,74207834
22,1992-12-31,Deutsche,74305064
23,1993-12-31,Deutsche,74360618
24,1994-12-31,Deutsche,74420863
25,1995-12-31,Deutsche,74474720
26,1996-12-31,Deutsche,74520512
27,1997-12-31,Deutsche,74638378
28,1998-12-31,Deutsche,74728534
29,1999-12-31,Deutsche,74827364
30,2000-12-31,Deutsche,74991972
31,2001-12-31,Deutsche,75122046
32,2002-12-31,Deutsche,75188729
33,2003-12-31,Deutsche,75189851
34,2004-12-31,Deutsche,75212869
35,2005-12-31,Deutsche,75148846
36,2006-12-31,Deutsche,75058957
37,2007-12-31,Deutsche,74962442
38,2008-12-31,Deutsche,74816435
39,2009-12-31,Deutsche,74671338
40,2010-12-31,Deutsche,74552656
41,2011-12-31,Deutsche,73985506
42,2012-12-31,Deutsche,73880047
43,2013-12-31,Deutsche,73752227
44,2014-12-31,Deutsche,73657763
45,2015-12-31,Deutsche,73523726
46,2016-12-31,Deutsche,73301664
47,2017-12-31,Deutsche,73113483
48,2018-12-31,Deutsche,72929921
49,2019-12-31,Deutsche,72768689
50,2020-12-31,Deutsche,72569978
51,2021-12-31,Deutsche,72344071
52,2022-12-31,Deutsche,71623366
53,2023-12-31,Deutsche,71347057
54,1970-12-31,Ausländer,2737905
55,1971-12-31,Ausländer,3187857
56,1972-12-31,Ausländer,3554078
57,1973-12-31,Ausländer,3991352
58,1974-12-31,Ausländer,4050962
59,1975-12-31,Ausländer,3900484
60,1976-12-31,Ausländer,3852182
61,1977-12-31,Ausländer,3892226
62,1978-12-31,Ausländer,4005819
63,1979-12-31,Ausländer,4250648
64,1980-12-31,Ausländer,4566167
65,1981-12-31,Ausländer,4721120
66,1982-12-31,Ausländer,4671838
67,1983-12-31,Ausländer,4574156
68,1984-12-31,Ausländer,4405463
69,1985-12-31,Ausländer,4481618
70,1986-12-31,Ausländer,4661880
71,1987-12-31,Ausländer,4286472
72,1988-12-31,Ausländer,4623528
73,1989-12-31,Ausländer,5007161
74,1990-12-31,Ausländer,5582357
75,1991-12-31,Ausländer,6066730
76,1992-12-31,Ausländer,6669568
77,1993-12-31,Ausländer,6977475
78,1994-12-31,Ausländer,7117740
79,1995-12-31,Ausländer,7342779
80,1996-12-31,Ausländer,7491650
81,1997-12-31,Ausländer,7419001
82,1998-12-31,Ausländer,7308477
83,1999-12-31,Ausländer,7336111
84,2000-12-31,Ausländer,7267568
85,2001-12-31,Ausländer,7318263
86,2002-12-31,Ausländer,7347951
87,2003-12-31,Ausländer,7341820
88,2004-12-31,Ausländer,7287980
89,2005-12-31,Ausländer,7289149
90,2006-12-31,Ausländer,7255949
91,2007-12-31,Ausländer,7255395
92,2008-12-31,Ausländer,7185921
93,2009-12-31,Ausländer,7130919
94,2010-12-31,Ausländer,7198946
95,2011-12-31,Ausländer,6342394
96,2012-12-31,Ausländer,6643699
97,2013-12-31,Ausländer,7015236
98,2014-12-31,Ausländer,7539774
99,2015-12-31,Ausländer,8651958
100,2016-12-31,Ausländer,9219989
101,2017-12-31,Ausländer,9678868
102,2018-12-31,Ausländer,10089292
103,2019-12-31,Ausländer,10398022
104,2020-12-31,Ausländer,10585053
105,2021-12-31,Ausländer,10893053
106,2022-12-31,Ausländer,11495135
107,2023-12-31,Ausländer,12108988
108,1970-12-31,Insgesamt,61001164
109,1971-12-31,Insgesamt,61502503
110,1972-12-31,Insgesamt,61809378
111,1973-12-31,Insgesamt,62101369
112,1974-12-31,Insgesamt,61991475
113,1975-12-31,Insgesamt,61644624
114,1976-12-31,Insgesamt,61441996
115,1977-12-31,Insgesamt,61352745
116,1978-12-31,Insgesamt,61321663
117,1979-12-31,Insgesamt,61439342
118,1980-12-31,Insgesamt,61657945
119,1981-12-31,Insgesamt,61712689
120,1982-12-31,Insgesamt,61546101
121,1983-12-31,Insgesamt,61306669
122,1984-12-31,Insgesamt,61049256
123,1985-12-31,Insgesamt,61020474
124,1986-12-31,Insgesamt,61140461
125,1987-12-31,Insgesamt,61238079
126,1988-12-31,Insgesamt,61715103
127,1989-12-31,Insgesamt,62679035
128,1990-12-31,Insgesamt,79753227
129,1991-12-31,Insgesamt,80274564
130,1992-12-31,Insgesamt,80974632
131,1993-12-31,Insgesamt,81338093
132,1994-12-31,Insgesamt,81538603
133,1995-12-31,Insgesamt,81817499
134,1996-12-31,Insgesamt,82012162
135,1997-12-31,Insgesamt,82057379
136,1998-12-31,Insgesamt,82037011
137,1999-12-31,Insgesamt,82163475
138,2000-12-31,Insgesamt,82259540
139,2001-12-31,Insgesamt,82440309
