,STAG,Ländergruppierungen,Value
4756,1967-09-30,Europa,1577757
4757,1968-09-30,Europa,1702141
4758,1969-09-30,Europa,2157590
4759,1970-09-30,Europa,2723802
4760,1971-09-30,Europa,3144223
4761,1972-09-30,Europa,3158841
4762,1973-09-30,Europa,3625146
4763,1974-09-30,Europa,3761133
4764,1975-09-30,Europa,3711334
4765,1976-09-30,Europa,3565016
4766,1977-09-30,Europa,3555437
4767,1978-09-30,Europa,3541710
4768,1979-09-30,Europa,3691054
4769,1980-09-30,Europa,3955309
4770,1981-09-30,Europa,4093389
4771,1982-09-30,Europa,4107665
4772,1983-09-30,Europa,3988235
4773,1984-09-30,Europa,3811161
4774,1985-12-31,Europa,3763838
4775,1986-12-31,Europa,3824329
4776,1987-12-31,Europa,3926524
4777,1988-12-31,Europa,3846512
4778,1989-12-31,Europa,4103108
4779,1990-12-31,Europa,4455057
4780,1991-12-31,Europa,4856371
4781,1992-12-31,Europa,5361861
4782,1993-12-31,Europa,5678283
4783,1994-12-31,Europa,5780019
4784,1995-12-31,Europa,5920187
4785,1996-12-31,Europa,6003831
4786,1997-12-31,Europa,6004599
4787,1998-12-31,Europa,5938558
4788,1999-12-31,Europa,5930236
4789,2000-12-31,Europa,5857709
4790,2001-12-31,Europa,5834608
4791,2002-12-31,Europa,5816583
4792,2003-12-31,Europa,5800117
4793,2004-12-31,Europa,5340008
4794,2005-12-31,Europa,5374833
4795,2006-12-31,Europa,5374746
4796,2007-12-31,Europa,5376248
4797,2008-12-31,Europa,5362318
4798,2009-12-31,Europa,5327406
4799,2010-12-31,Europa,5374592
4800,2011-12-31,Europa,5509146
4801,2012-12-31,Europa,5726902
4802,2013-12-31,Europa,6051796
4803,2014-12-31,Europa,6394914
4804,2015-12-31,Europa,6831428
4805,2016-12-31,Europa,7073980
4806,2017-12-31,Europa,7507310
4807,2018-12-31,Europa,7636615
4808,2019-12-31,Europa,7789825
4809,2020-12-31,Europa,7928675
4810,2021-12-31,Europa,8099555
4811,2022-12-31,Europa,9322075
4812,2023-12-31,Europa,9581895
4813,2024-12-31,Europa,9620470
4814,1967-09-30,EU-27 (seit 01.02.2020),0
4815,1968-09-30,EU-27 (seit 01.02.2020),0
4816,1969-09-30,EU-27 (seit 01.02.2020),0
4817,1970-09-30,EU-27 (seit 01.02.2020),0
4818,1971-09-30,EU-27 (seit 01.02.2020),0
4819,1972-09-30,EU-27 (seit 01.02.2020),0
4820,1973-09-30,EU-27 (seit 01.02.2020),0
4821,1974-09-30,EU-27 (seit 01.02.2020),0
4822,1975-09-30,EU-27 (seit 01.02.2020),0
4823,1976-09-30,EU-27 (seit 01.02.2020),0
4824,1977-09-30,EU-27 (seit 01.02.2020),0
4825,1978-09-30,EU-27 (seit 01.02.2020),0
4826,1979-09-30,EU-27 (seit 01.02.2020),0
4827,1980-09-30,EU-27 (seit 01.02.2020),0
4828,1981-09-30,EU-27 (seit 01.02.2020),0
4829,1982-09-30,EU-27 (seit 01.02.2020),0
4830,1983-09-30,EU-27 (seit 01.02.2020),0
4831,1984-09-30,EU-27 (seit 01.02.2020),0
4832,1985-12-31,EU-27 (seit 01.02.2020),0
4833,1986-12-31,EU-27 (seit 01.02.2020),0
4834,1987-12-31,EU-27 (seit 01.02.2020),0
4835,1988-12-31,EU-27 (seit 01.02.2020),0
4836,1989-12-31,EU-27 (seit 01.02.2020),0
4837,1990-12-31,EU-27 (seit 01.02.2020),0
4838,1991-12-31,EU-27 (seit 01.02.2020),0
4839,1992-12-31,EU-27 (seit 01.02.2020),0
4840,1993-12-31,EU-27 (seit 01.02.2020),0
4841,1994-12-31,EU-27 (seit 01.02.2020),0
4842,1995-12-31,EU-27 (seit 01.02.2020),0
4843,1996-12-31,EU-27 (seit 01.02.2020),0
4844,1997-12-31,EU-27 (seit 01.02.2020),0
4845,1998-12-31,EU-27 (seit 01.02.2020),0
4846,1999-12-31,EU-27 (seit 01.02.2020),0
4847,2000-12-31,EU-27 (seit 01.02.2020),0
4848,2001-12-31,EU-27 (seit 01.02.2020),0
4849,2002-12-31,EU-27 (seit 01.02.2020),0
4850,2003-12-31,EU-27 (seit 01.02.2020),0
4851,2004-12-31,EU-27 (seit 01.02.2020),0
4852,2005-12-31,EU-27 (seit 01.02.2020),0
4853,2006-12-31,EU-27 (seit 01.02.2020),0
4854,2007-12-31,EU-27 (seit 01.02.2020),0
4855,2008-12-31,EU-27 (seit 01.02.2020),0
4856,2009-12-31,EU-27 (seit 01.02.2020),0
4857,2010-12-31,EU-27 (seit 01.02.2020),0
4858,2011-12-31,EU-27 (seit 01.02.2020),0
4859,2012-12-31,EU-27 (seit 01.02.2020),0
4860,2013-12-31,EU-27 (seit 01.02.2020),0
4861,2014-12-31,EU-27 (seit 01.02.2020),0
4862,2015-12-31,EU-27 (seit 01.02.2020),0
4863,2016-12-31,EU-27 (seit 01.02.2020),0
4864,2017-12-31,EU-27 (seit 01.02.2020),0
4865,2018-12-31,EU-27 (seit 01.02.2020),4683600
4866,2019-12-31,EU-27 (seit 01.02.2020),4789130
4867,2020-12-31,EU-27 (seit 01.02.2020),4895905
4868,2021-12-31,EU-27 (seit 01.02.2020),4985490
4869,2022-12-31,EU-27 (seit 01.02.2020),5064515
4870,2023-12-31,EU-27 (seit 01.02.2020),5113875
4871,2024-12-31,EU-27 (seit 01.02.2020),5051225
4872,1967-09-30,Drittstaaten zu EU-27 (seit 01.02.2020),0
4873,1968-09-30,Drittstaaten zu EU-27 (seit 01.02.2020),0
4874,1969-09-30,Drittstaaten zu EU-27 (seit 01.02.2020),0
4875,1970-09-30,Drittstaaten zu EU-27 (seit 01.02.2020),0
4876,1971-09-30,Drittstaaten zu EU-27 (seit 01.02.2020),0
4877,1972-09-30,Drittstaaten zu EU-27 (seit 01.02.2020),0
4878,1973-09-30,Drittstaaten zu EU-27 (seit 01.02.2020),0
4879,1974-09-30,Drittstaaten zu EU-27 (seit 01.02.2020),0
4880,1975-09-30,Drittstaaten zu EU-27 (seit 01.02.2020),0
4881,1976-09-30,Drittstaaten zu EU-27 (seit 01.02.2020),0
4882,1977-09-30,Drittstaaten zu EU-27 (seit 01.02.2020),0
