"Region";"Deutschland";"Regionsschlüssel:";"d"
"Gebietsstand";"April 2025"
"Berichtsmonat";"Zeitreihe"
"Datenstand";"April 2025"
"Indikator";"Auszubildende (sv.-pfl.)"
"StaatsangehörigkeitEs werden Grafiken und Daten nur zu denjenigen Staatsangehörigkeiten angezeigt, bei denen eine ausreichend gesicherte Datenlage besteht.";"Deutsche"
""
"Hinweise:";"Daten beziehen sich auf den Arbeitsort."
""
"Berichtsmonat ";"Frauen Auszubildende (sv.-pfl.) ";"Männer Auszubildende (sv.-pfl.) ";"Auszubildende (sv.-pfl.) "
"Oktober 2013";"654.480";"880.980";"1.535.460"
"November 2013";"649.980";"875.420";"1.525.390"
"Dezember 2013";"643.800";"867.340";"1.511.130"
"Januar 2014";"618.990";"825.620";"1.444.610"
"Februar 2014";"604.490";"783.450";"1.387.940"
"März 2014";"598.940";"768.950";"1.367.890"
"April 2014";"596.900";"764.940";"1.361.840"
"Mai 2014";"593.340";"759.910";"1.353.250"
"Juni 2014";"560.500";"725.740";"1.286.240"
"Juli 2014";"492.270";"650.050";"1.142.330"
"August 2014";"559.440";"734.690";"1.294.130"
"September 2014";"636.040";"859.230";"1.495.270"
"Oktober 2014";"639.090";"860.450";"1.499.550"
"November 2014";"634.530";"854.740";"1.489.270"
"Dezember 2014";"628.960";"847.540";"1.476.490"
"Januar 2015";"603.630";"800.380";"1.404.010"
"Februar 2015";"590.540";"760.890";"1.351.430"
"März 2015";"585.440";"747.300";"1.332.740"
"April 2015";"583.290";"743.620";"1.326.910"
"Mai 2015";"579.420";"738.340";"1.317.760"
"Juni 2015";"541.850";"698.360";"1.240.210"
"Juli 2015";"483.970";"635.000";"1.118.970"
"August 2015";"556.830";"731.090";"1.287.920"
"September 2015";"628.040";"848.690";"1.476.720"
"Oktober 2015";"630.120";"849.520";"1.479.640"
"November 2015";"626.140";"844.820";"1.470.960"
"Dezember 2015";"620.610";"837.500";"1.458.110"
"Januar 2016";"594.890";"790.870";"1.385.760"
"Februar 2016";"581.640";"752.480";"1.334.120"
"März 2016";"576.210";"738.520";"1.314.730"
"April 2016";"573.710";"734.330";"1.308.040"
"Mai 2016";"570.240";"730.040";"1.300.270"
"Juni 2016";"527.160";"687.840";"1.215.000"
"Juli 2016";"477.520";"626.950";"1.104.470"
"August 2016";"553.720";"732.270";"1.286.000"
"September 2016";"620.330";"841.790";"1.462.120"
"Oktober 2016";"623.930";"843.350";"1.467.290"
"November 2016";"619.550";"837.810";"1.457.360"
"Dezember 2016";"613.700";"830.330";"1.444.040"
"Januar 2017";"589.830";"788.580";"1.378.410"
"Februar 2017";"575.890";"748.230";"1.324.120"
"März 2017";"570.440";"734.470";"1.304.900"
"April 2017";"567.580";"730.040";"1.297.620"
"Mai 2017";"563.670";"725.290";"1.288.960"
"Juni 2017";"520.350";"681.160";"1.201.510"
"Juli 2017";"471.870";"622.350";"1.094.220"
"August 2017";"545.460";"729.350";"1.274.810"
"September 2017";"611.020";"838.540";"1.449.560"
"Oktober 2017";"615.010";"839.980";"1.454.990"
"November 2017";"610.820";"834.820";"1.445.640"
"Dezember 2017";"605.380";"827.490";"1.432.880"
"Januar 2018";"581.570";"786.430";"1.368.000"
"Februar 2018";"567.540";"746.390";"1.313.930"
"März 2018";"561.700";"732.460";"1.294.160"
"April 2018";"560.000";"728.480";"1.288.480"
"Mai 2018";"555.140";"722.060";"1.277.200"
"Juni 2018";"507.350";"670.160";"1.177.510"
"Juli 2018";"466.530";"620.840";"1.087.360"
"August 2018";"541.730";"733.970";"1.275.700"
"September 2018";"604.560";"843.050";"1.447.610"
"Oktober 2018";"609.140";"844.730";"1.453.870"
"November 2018";"604.660";"838.750";"1.443.410"
"Dezember 2018";"599.210";"831.620";"1.430.830"
"Januar 2019";"580.590";"792.020";"1.372.610"
"Februar 2019";"567.130";"752.510";"1.319.640"
"März 2019";"561.930";"739.050";"1.300.980"
"April 2019";"561.140";"735.450";"1.296.590"
"Mai 2019";"557.380";"730.130";"1.287.510"
