,Ländergruppierungen,GES,ALT,Value
0,Afrika,GESM,0,4455
1,Afrika,GESM,1,6035
2,Afrika,GESM,2,6215
3,Afrika,GESM,3,6220
4,Afrika,GESM,4,6615
5,Afrika,GESM,5,6935
6,Afrika,GESM,6,6595
7,Afrika,GESM,7,6135
8,Afrika,GESM,8,5535
9,Afrika,GESM,9,4635
10,Afrika,GESM,10,3945
11,Afrika,GESM,11,3640
12,Afrika,GESM,12,3350
13,Afrika,GESM,13,3060
14,Afrika,GESM,14,2935
15,Afrika,GESM,15,3100
16,Afrika,GESM,16,3945
17,Afrika,GESM,17,4865
18,Afrika,GESM,18,4425
19,Afrika,GESM,19,5060
20,Afrika,GESM,20,5745
21,Afrika,GESM,21,6300
22,Afrika,GESM,22,7445
23,Afrika,GESM,23,8950
24,Afrika,GESM,24,11665
25,Afrika,GESM,25,14275
26,Afrika,GESM,26,15745
27,Afrika,GESM,27,16090
28,Afrika,GESM,28,16510
29,Afrika,GESM,29,16315
30,Afrika,GESM,30,15885
31,Afrika,GESM,31,14380
32,Afrika,GESM,32,14135
33,Afrika,GESM,33,12560
34,Afrika,GESM,34,13700
35,Afrika,GESM,35,11640
36,Afrika,GESM,36,11605
37,Afrika,GESM,37,10285
38,Afrika,GESM,38,9855
39,Afrika,GESM,39,9455
40,Afrika,GESM,40,8480
41,Afrika,GESM,41,7475
42,Afrika,GESM,42,7465
43,Afrika,GESM,43,6025
44,Afrika,GESM,44,7055
45,Afrika,GESM,45,5865
46,Afrika,GESM,46,5455
47,Afrika,GESM,47,5000
48,Afrika,GESM,48,4515
49,Afrika,GESM,49,4540
50,Afrika,GESM,50,4140
51,Afrika,GESM,51,3740
52,Afrika,GESM,52,3805
53,Afrika,GESM,53,3030
54,Afrika,GESM,54,3695
55,Afrika,GESM,55,3045
56,Afrika,GESM,56,3150
57,Afrika,GESM,57,2610
58,Afrika,GESM,58,2445
59,Afrika,GESM,59,2425
60,Afrika,GESM,60,2195
61,Afrika,GESM,61,1800
62,Afrika,GESM,62,1720
63,Afrika,GESM,63,1320
64,Afrika,GESM,64,1500
65,Afrika,GESM,65,995
66,Afrika,GESM,66,970
67,Afrika,GESM,67,880
68,Afrika,GESM,68,760
69,Afrika,GESM,69,665
70,Afrika,GESM,70,630
71,Afrika,GESM,71,555
72,Afrika,GESM,72,600
73,Afrika,GESM,73,420
74,Afrika,GESM,74,535
75,Afrika,GESM,75,415
76,Afrika,GESM,76,425
77,Afrika,GESM,77,380
78,Afrika,GESM,78,295
