,STAG,Ländergruppierungen,Value
4756,1967-09-30,Europa,1577757
4757,1968-09-30,Europa,1702141
4758,1969-09-30,Europa,2157590
4759,1970-09-30,Europa,2723802
4760,1971-09-30,Europa,3144223
4761,1972-09-30,Europa,3158841
4762,1973-09-30,Europa,3625146
4763,1974-09-30,Europa,3761133
4764,1975-09-30,Europa,3711334
4765,1976-09-30,Europa,3565016
4766,1977-09-30,Europa,3555437
4767,1978-09-30,Europa,3541710
4768,1979-09-30,Europa,3691054
4769,1980-09-30,Europa,3955309
4770,1981-09-30,Europa,4093389
4771,1982-09-30,Europa,4107665
4772,1983-09-30,Europa,3988235
4773,1984-09-30,Europa,3811161
4774,1985-12-31,Europa,3763838
4775,1986-12-31,Europa,3824329
4776,1987-12-31,Europa,3926524
4777,1988-12-31,Europa,3846512
4778,1989-12-31,Europa,4103108
4779,1990-12-31,Europa,4455057
4780,1991-12-31,Europa,4856371
4781,1992-12-31,Europa,5361861
4782,1993-12-31,Europa,5678283
4783,1994-12-31,Europa,5780019
4784,1995-12-31,Europa,5920187
4785,1996-12-31,Europa,6003831
4786,1997-12-31,Europa,6004599
4787,1998-12-31,Europa,5938558
4788,1999-12-31,Europa,5930236
4789,2000-12-31,Europa,5857709
4790,2001-12-31,Europa,5834608
4791,2002-12-31,Europa,5816583
4792,2003-12-31,Europa,5800117
4793,2004-12-31,Europa,5340008
4794,2005-12-31,Europa,5374833
4795,2006-12-31,Europa,5374746
4796,2007-12-31,Europa,5376248
4797,2008-12-31,Europa,5362318
4798,2009-12-31,Europa,5327406
4799,2010-12-31,Europa,5374592
4800,2011-12-31,Europa,5509146
4801,2012-12-31,Europa,5726902
4802,2013-12-31,Europa,6051796
4803,2014-12-31,Europa,6394914
4804,2015-12-31,Europa,6831428
4805,2016-12-31,Europa,7073980
4806,2017-12-31,Europa,7507310
4807,2018-12-31,Europa,7636615
4808,2019-12-31,Europa,7789825
4809,2020-12-31,Europa,7928675
4810,2021-12-31,Europa,8099555
4811,2022-12-31,Europa,9322075
4812,2023-12-31,Europa,9581895
4813,2024-12-31,Europa,9620470
5858,1967-09-30,Afrika,22603
5859,1968-09-30,Afrika,25081
5860,1969-09-30,Afrika,28843
5861,1970-09-30,Afrika,39827
5862,1971-09-30,Afrika,50804
5863,1972-09-30,Afrika,55909
5864,1973-09-30,Afrika,64587
5865,1974-09-30,Afrika,69262
5866,1975-09-30,Afrika,70942
5867,1976-09-30,Afrika,71535
5868,1977-09-30,Afrika,74572
5869,1978-09-30,Afrika,79543
5870,1979-09-30,Afrika,88517
5871,1980-09-30,Afrika,103432
5872,1981-09-30,Afrika,115138
5873,1982-09-30,Afrika,123955
5874,1983-09-30,Afrika,125204
5875,1984-09-30,Afrika,124481
5876,1985-12-31,Afrika,133456
5877,1986-12-31,Afrika,145083
5878,1987-12-31,Afrika,149168
5879,1988-12-31,Afrika,136749
5880,1989-12-31,Afrika,163579
5881,1990-12-31,Afrika,197974
5882,1991-12-31,Afrika,236144
5883,1992-12-31,Afrika,283592
5884,1993-12-31,Afrika,301782
5885,1994-12-31,Afrika,291851
5886,1995-12-31,Afrika,290938
5887,1996-12-31,Afrika,298439
5888,1997-12-31,Afrika,305405
5889,1998-12-31,Afrika,303093
5890,1999-12-31,Afrika,300444
5891,2000-12-31,Afrika,298916
5892,2001-12-31,Afrika,302155
5893,2002-12-31,Afrika,307278
5894,2003-12-31,Afrika,309826
5895,2004-12-31,Afrika,275796
5896,2005-12-31,Afrika,273815
5897,2006-12-31,Afrika,271451
5898,2007-12-31,Afrika,269160
5899,2008-12-31,Afrika,267484
5900,2009-12-31,Afrika,267900
5901,2010-12-31,Afrika,270962
5902,2011-12-31,Afrika,275634
5903,2012-12-31,Afrika,287954
5904,2013-12-31,Afrika,318577
5905,2014-12-31,Afrika,363745
5906,2015-12-31,Afrika,429048
5907,2016-12-31,Afrika,510535
5908,2017-12-31,Afrika,539385
5909,2018-12-31,Afrika,570115
5910,2019-12-31,Afrika,600925
5911,2020-12-31,Afrika,615830
5912,2021-12-31,Afrika,650665
5913,2022-12-31,Afrika,710165
5914,2023-12-31,Afrika,755170
5915,2024-12-31,Afrika,791430
6206,1967-09-30,Amerika,65812
6207,1968-09-30,Amerika,68068
6208,1969-09-30,Amerika,69274
6209,1970-09-30,Amerika,77706
6210,1971-09-30,Amerika,90495
6211,1972-09-30,Amerika,86147
6212,1973-09-30,Amerika,97301
6213,1974-09-30,Amerika,101044
6214,1975-09-30,Amerika,103980
6215,1976-09-30,Amerika,102700
6216,1977-09-30,Amerika,103328
6217,1978-09-30,Amerika,102703
6218,1979-09-30,Amerika,106782
6219,1980-09-30,Amerika,113354
6220,1981-09-30,Amerika,118052
6221,1982-09-30,Amerika,120190
6222,1983-09-30,Amerika,120342
6223,1984-09-30,Amerika,122270
6224,1985-12-31,Amerika,127046
6225,1986-12-31,Amerika,131192
6226,1987-12-31,Amerika,134021
6227,1988-12-31,Amerika,120680
6228,1989-12-31,Amerika,132233
6229,1990-12-31,Amerika,144631
6230,1991-12-31,Amerika,160494
6231,1992-12-31,Amerika,168689
6232,1993-12-31,Amerika,176411
6233,1994-12-31,Amerika,179615
6234,1995-12-31,Amerika,182952
6235,1996-12-31,Amerika,189523
6236,1997-12-31,Amerika,194313
6237,1998-12-31,Amerika,199256
6238,1999-12-31,Amerika,205313
6239,2000-12-31,Amerika,213231
6240,2001-12-31,Amerika,218835
6241,2002-12-31,Amerika,223812
6242,2003-12-31,Amerika,228439
6243,2004-12-31,Amerika,202887
6244,2005-12-31,Amerika,208167
6245,2006-12-31,Amerika,213039
6246,2007-12-31,Amerika,215639
6247,2008-12-31,Amerika,216263
6248,2009-12-31,Amerika,215095
6249,2010-12-31,Amerika,215194
6250,2011-12-31,Amerika,223661
6251,2012-12-31,Amerika,232148
6252,2013-12-31,Amerika,239044
6253,2014-12-31,Amerika,245674
6254,2015-12-31,Amerika,251829
6255,2016-12-31,Amerika,259840
6256,2017-12-31,Amerika,271425
6257,2018-12-31,Amerika,283585
6258,2019-12-31,Amerika,296710
6259,2020-12-31,Amerika,294280
6260,2021-12-31,Amerika,306065
6261,2022-12-31,Amerika,328150
6262,2023-12-31,Amerika,348075
