,STAG,Ausgewählte Aufenthaltstitel,Value
0,1998-12-31,Antrag auf einen Aufenthaltstitel gestellt,871
1,1998-12-31,Aufenthaltsgestattung,240045
2,1998-12-31,Aufenthaltsrecht nach FreizügG/EU,1885935
3,1998-12-31,"Befristete AE, besondere Gründe und nationale Visa",1937864
4,1998-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",0
5,1998-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",0
6,1998-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",0
7,1998-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",0
8,1998-12-31,Duldung,272807
9,1998-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",660432
10,1998-12-31,Unbefristete Niederlassungserlaubnis,2228025
11,1998-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,93614
12,1999-12-31,Antrag auf einen Aufenthaltstitel gestellt,2553
13,1999-12-31,Aufenthaltsgestattung,222336
14,1999-12-31,Aufenthaltsrecht nach FreizügG/EU,1893191
15,1999-12-31,"Befristete AE, besondere Gründe und nationale Visa",1976046
16,1999-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",0
17,1999-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",0
18,1999-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",0
19,1999-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",0
20,1999-12-31,Duldung,283145
21,1999-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",612596
22,1999-12-31,Unbefristete Niederlassungserlaubnis,2275733
23,1999-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,77991
24,2000-12-31,Antrag auf einen Aufenthaltstitel gestellt,4325
25,2000-12-31,Aufenthaltsgestattung,171434
26,2000-12-31,Aufenthaltsrecht nach FreizügG/EU,1910457
27,2000-12-31,"Befristete AE, besondere Gründe und nationale Visa",2016262
28,2000-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",0
29,2000-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",0
30,2000-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",0
31,2000-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",0
32,2000-12-31,Duldung,242690
33,2000-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",577400
34,2000-12-31,Unbefristete Niederlassungserlaubnis,2304332
35,2000-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,69917
36,2001-12-31,Antrag auf einen Aufenthaltstitel gestellt,5511
37,2001-12-31,Aufenthaltsgestattung,160414
38,2001-12-31,Aufenthaltsrecht nach FreizügG/EU,1910349
39,2001-12-31,"Befristete AE, besondere Gründe und nationale Visa",2077056
40,2001-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",0
41,2001-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",0
42,2001-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",0
43,2001-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",0
44,2001-12-31,Duldung,217507
45,2001-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",530914
46,2001-12-31,Unbefristete Niederlassungserlaubnis,2353659
47,2001-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,63218
48,2002-12-31,Antrag auf einen Aufenthaltstitel gestellt,6694
49,2002-12-31,Aufenthaltsgestattung,134436
50,2002-12-31,Aufenthaltsrecht nach FreizügG/EU,1905002
51,2002-12-31,"Befristete AE, besondere Gründe und nationale Visa",2112537
52,2002-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",0
53,2002-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",0
54,2002-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",0
55,2002-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",0
56,2002-12-31,Duldung,214576
57,2002-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",497817
58,2002-12-31,Unbefristete Niederlassungserlaubnis,2407385
59,2002-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,57145
60,2003-12-31,Antrag auf einen Aufenthaltstitel gestellt,9526
61,2003-12-31,Aufenthaltsgestattung,101757
62,2003-12-31,Aufenthaltsrecht nach FreizügG/EU,1894987
63,2003-12-31,"Befristete AE, besondere Gründe und nationale Visa",2126233
64,2003-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",0
65,2003-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",0
66,2003-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",0
67,2003-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",0
68,2003-12-31,Duldung,216858
69,2003-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",469407
70,2003-12-31,Unbefristete Niederlassungserlaubnis,2460730
71,2003-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,55267
72,2004-12-31,Antrag auf einen Aufenthaltstitel gestellt,7909
73,2004-12-31,Aufenthaltsgestattung,66295
74,2004-12-31,Aufenthaltsrecht nach FreizügG/EU,2149411
75,2004-12-31,"Befristete AE, besondere Gründe und nationale Visa",1774782
76,2004-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",0
77,2004-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",0
78,2004-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",0
79,2004-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",0
80,2004-12-31,Duldung,196069
81,2004-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",237903
82,2004-12-31,Unbefristete Niederlassungserlaubnis,2260068
