,Staatsangehörigkeit,Correlation
162,Spanien,0.6542210974565932
148,Schweden,0.6476741575083137
61,"Iran, Islamische Republik",0.6244775828347161
22,Brasilien,0.621138593328006
12,Bangladesch,0.5939369091317712
151,Serbien,0.5834416681807044
106,Marokko,0.5834127055251543
188,Türkei,0.580124427181475
62,Irland,0.5587580438050256
204,Ägypten,0.5578391407680432
48,Ghana,0.5503807682850022
1,Albanien,0.5482934186267788
58,Indien,0.544086951600476
185,Tunesien,0.5364633313981976
30,China,0.5356477893059598
25,Bulgarien,0.5014288356180616
50,Griechenland,0.4986957613881128
201,Vietnam,0.4979845985416453
200,Vereinigtes Königreich,0.4978587613775183
125,Nigeria,0.4906971766609613
110,Mexiko,0.4828761097477288
163,Sri Lanka,0.46738543593233883
141,Russische Föderation,0.45473120067943307
44,Frankreich,0.4540675302308088
67,Japan,0.43407334133731784
65,Italien,0.43291822535611013
20,Bosnien und Herzegowina,0.42668530284720924
126,Nordmazedonien,0.4263997886585348
171,Syrien,0.42512476881429334
47,Georgien,0.4200212199290462
93,Libanon,0.41961142981220123
59,Indonesien,0.4123068513939992
192,Ungeklärt / Ohne Angabe,0.4059168003305101
129,Pakistan,0.40176270221974764
2,Algerien,0.3963068624935863
60,Irak,0.39423393559829045
52,Guinea,0.35696918293993546
14,Belarus,0.3542428071898507
167,Staatenlos,0.3497647120482553
199,Vereinigte Staaten,0.33980302965538767
177,Thailand,0.33862067251086164
8,Aserbaidschan,0.33627119042536563
85,"Korea, Republik",0.3282858655076597
138,Portugal,0.32324286480705294
87,Kroatien,0.32240470184267467
159,Slowenien,0.29875739769676496
136,Philippinen,0.2933202295675434
115,Montenegro (ab 03.06.2006),0.29268855641540253
39,Eritrea,0.2921122744021905
73,Kamerun,0.28830799619362196
112,"Moldau, Republik",0.275082242976695
206,Äthiopien,0.26473393008566676
190,Ukraine,0.24517260795235815
80,Kolumbien,0.22311618165201988
0,Afghanistan,0.21905184744165138
15,Belgien,0.19809296473845234
75,Kasachstan,0.19458768442110513
160,Somalia,0.19446397331058646
97,Litauen,0.19372444742443487
7,Armenien,0.17762817351788412
86,Kosovo,0.1744828283152735
92,Lettland,0.1710622069174818
137,Polen,0.14690854073851067
140,Rumänien,0.14175626592597734
207,Österreich,0.056131532128879724
149,Schweiz,0.020477030887057174
123,Niederlande,-0.0002729515507707668
98,Luxemburg,-0.024607136183560713
191,Ungarn,-0.026390761000033444
183,Tschechien,-0.030626408193339966
158,Slowakei,-0.035948870008044295
