,Jahr,Art,Value
0,2000,Fortzüge in das Ausland,562794
1,2000,Wanderungssaldo,86455
2,2000,Zuzüge aus dem Ausland,649249
3,2001,Fortzüge in das Ausland,496987
4,2001,Wanderungssaldo,188272
5,2001,Zuzüge aus dem Ausland,685259
6,2002,Fortzüge in das Ausland,505572
7,2002,Wanderungssaldo,152769
8,2002,Zuzüge aus dem Ausland,658341
9,2003,Fortzüge in das Ausland,499063
10,2003,Wanderungssaldo,102696
11,2003,Zuzüge aus dem Ausland,601759
12,2004,Fortzüge in das Ausland,546965
13,2004,Wanderungssaldo,55217
14,2004,Zuzüge aus dem Ausland,602182
15,2005,Fortzüge in das Ausland,483584
16,2005,Wanderungssaldo,95717
17,2005,Zuzüge aus dem Ausland,579301
18,2006,Fortzüge in das Ausland,483774
19,2006,Wanderungssaldo,74693
20,2006,Zuzüge aus dem Ausland,558467
21,2007,Fortzüge in das Ausland,475749
22,2007,Wanderungssaldo,99003
23,2007,Zuzüge aus dem Ausland,574752
24,2008,Fortzüge in das Ausland,563130
25,2008,Wanderungssaldo,10685
26,2008,Zuzüge aus dem Ausland,573815
27,2009,Fortzüge in das Ausland,578808
28,2009,Wanderungssaldo,27506
29,2009,Zuzüge aus dem Ausland,606314
30,2010,Fortzüge in das Ausland,529605
31,2010,Wanderungssaldo,153925
32,2010,Zuzüge aus dem Ausland,683530
33,2011,Fortzüge in das Ausland,538837
34,2011,Wanderungssaldo,302858
35,2011,Zuzüge aus dem Ausland,841695
36,2012,Fortzüge in das Ausland,578759
37,2012,Wanderungssaldo,387149
38,2012,Zuzüge aus dem Ausland,965908
39,2013,Fortzüge in das Ausland,657604
40,2013,Wanderungssaldo,450464
41,2013,Zuzüge aus dem Ausland,1108068
42,2014,Fortzüge in das Ausland,765605
43,2014,Wanderungssaldo,576924
44,2014,Zuzüge aus dem Ausland,1342529
45,2015,Fortzüge in das Ausland,859279
46,2015,Wanderungssaldo,1156962
47,2015,Zuzüge aus dem Ausland,2016241
48,2016,Fortzüge in das Ausland,1083767
49,2016,Wanderungssaldo,635308
50,2016,Zuzüge aus dem Ausland,1719075
51,2017,Fortzüge in das Ausland,885460
52,2017,Wanderungssaldo,498558
53,2017,Zuzüge aus dem Ausland,1384018
54,2018,Fortzüge in das Ausland,923581
55,2018,Wanderungssaldo,460000
56,2018,Zuzüge aus dem Ausland,1383581
57,2019,Fortzüge in das Ausland,961258
58,2019,Wanderungssaldo,384685
59,2019,Zuzüge aus dem Ausland,1345943
60,2020,Fortzüge in das Ausland,746212
61,2020,Wanderungssaldo,248607
62,2020,Zuzüge aus dem Ausland,994819
63,2021,Fortzüge in das Ausland,746474
64,2021,Wanderungssaldo,393342
65,2021,Zuzüge aus dem Ausland,1139816
66,2022,Fortzüge in das Ausland,935516
67,2022,Wanderungssaldo,1545503
68,2022,Zuzüge aus dem Ausland,2481019
69,2023,Fortzüge in das Ausland,1004510
70,2023,Wanderungssaldo,736643
71,2023,Zuzüge aus dem Ausland,1741153
