,Jahr,Art,Value
0,2000,Fortzüge in das Ausland,111244
1,2000,Wanderungssaldo,80665
2,2000,Zuzüge aus dem Ausland,191909
3,2001,Fortzüge in das Ausland,109507
4,2001,Wanderungssaldo,84451
5,2001,Zuzüge aus dem Ausland,193958
6,2002,Fortzüge in das Ausland,117683
7,2002,Wanderungssaldo,66519
8,2002,Zuzüge aus dem Ausland,184202
9,2003,Fortzüge in das Ausland,127267
10,2003,Wanderungssaldo,39949
11,2003,Zuzüge aus dem Ausland,167216
12,2004,Fortzüge in das Ausland,150667
13,2004,Wanderungssaldo,27326
14,2004,Zuzüge aus dem Ausland,177993
15,2005,Fortzüge in das Ausland,144815
16,2005,Wanderungssaldo,-16764
17,2005,Zuzüge aus dem Ausland,128051
18,2006,Fortzüge in das Ausland,155290
19,2006,Wanderungssaldo,-51902
20,2006,Zuzüge aus dem Ausland,103388
21,2007,Fortzüge in das Ausland,161105
22,2007,Wanderungssaldo,-55091
23,2007,Zuzüge aus dem Ausland,106014
24,2008,Fortzüge in das Ausland,174759
25,2008,Wanderungssaldo,-66428
26,2008,Zuzüge aus dem Ausland,108331
27,2009,Fortzüge in das Ausland,154988
28,2009,Wanderungssaldo,-40288
29,2009,Zuzüge aus dem Ausland,114700
30,2010,Fortzüge in das Ausland,141000
31,2010,Wanderungssaldo,-26248
32,2010,Zuzüge aus dem Ausland,114752
33,2011,Fortzüge in das Ausland,140132
34,2011,Wanderungssaldo,-23528
35,2011,Zuzüge aus dem Ausland,116604
36,2012,Fortzüge in das Ausland,133232
37,2012,Wanderungssaldo,-18204
38,2012,Zuzüge aus dem Ausland,115028
39,2013,Fortzüge in das Ausland,140282
40,2013,Wanderungssaldo,-21857
41,2013,Zuzüge aus dem Ausland,118425
42,2014,Fortzüge in das Ausland,148636
43,2014,Wanderungssaldo,-26441
44,2014,Zuzüge aus dem Ausland,122195
45,2015,Fortzüge in das Ausland,138273
46,2015,Wanderungssaldo,-17560
47,2015,Zuzüge aus dem Ausland,120713
48,2016,Fortzüge in das Ausland,281411
49,2016,Wanderungssaldo,-135364
50,2016,Zuzüge aus dem Ausland,146047
51,2017,Fortzüge in das Ausland,249181
52,2017,Wanderungssaldo,-82478
53,2017,Zuzüge aus dem Ausland,166703
54,2018,Fortzüge in das Ausland,261851
55,2018,Wanderungssaldo,-60320
56,2018,Zuzüge aus dem Ausland,201531
57,2019,Fortzüge in das Ausland,270294
58,2019,Wanderungssaldo,-57625
59,2019,Zuzüge aus dem Ausland,212669
60,2020,Fortzüge in das Ausland,220239
61,2020,Wanderungssaldo,-28356
62,2020,Zuzüge aus dem Ausland,191883
63,2021,Fortzüge in das Ausland,247829
64,2021,Wanderungssaldo,-64179
65,2021,Zuzüge aus dem Ausland,183650
66,2022,Fortzüge in das Ausland,268167
67,2022,Wanderungssaldo,-83414
68,2022,Zuzüge aus dem Ausland,184753
69,2023,Fortzüge in das Ausland,265035
70,2023,Wanderungssaldo,-73679
71,2023,Zuzüge aus dem Ausland,191356
