,Jahr,Herkunfts-/Zielländer,Value
0,2000,Afghanistan,12220
1,2000,Albanien,2556
2,2000,Algerien,5212
3,2000,Andorra,10
4,2000,Angola,1216
5,2000,Argentinien,2290
6,2000,Armenien,3084
7,2000,Aserbaidschan,4810
8,2000,Australien,3236
9,2000,Belarus,6496
10,2000,Belgien,4842
11,2000,"Bolivien, Plurinationaler Staat",600
12,2000,Bosnien und Herzegowina,20792
13,2000,Brasilien,9688
14,2000,Bulgarien,20616
15,2000,Chile,1458
16,2000,China,29444
17,2000,Costa Rica,264
18,2000,Cote d'Ivoire,880
19,2000,Dänemark,5296
20,2000,Estland,1870
21,2000,Finnland,5598
22,2000,Frankreich,31706
23,2000,Georgien,5572
24,2000,Ghana,3186
25,2000,Griechenland,34800
26,2000,Honduras,166
27,2000,Indien,12530
28,2000,Indonesien,2924
29,2000,Insgesamt,1298498
30,2000,Irak,24516
31,2000,"Iran, Islamische Republik",15018
32,2000,Irland,4420
33,2000,Island,470
34,2000,Israel,2352
35,2000,Italien,65524
36,2000,Japan,10772
37,2000,Jemen,894
38,2000,Jordanien,1568
39,2000,Kamerun,3656
40,2000,Kanada,5418
41,2000,Kasachstan,24498
42,2000,Kenia,1934
43,2000,Kirgisistan,3010
44,2000,Kolumbien,3818
45,2000,"Kongo, Demokratische Republik",992
46,2000,"Kongo, Republik",976
47,2000,"Korea, Demokratische Volksrepublik",878
48,2000,"Korea, Republik",4996
49,2000,Kosovo,0
50,2000,Kroatien,28138
51,2000,Kuwait,168
52,2000,Lettland,3920
53,2000,Libanon,6402
54,2000,Libyen,916
55,2000,Litauen,6108
56,2000,Luxemburg,1854
57,2000,Malta,118
58,2000,Marokko,10618
59,2000,Mexiko,3484
60,2000,Montenegro (ab 03.06.2006),0
61,2000,Namibia,238
62,2000,Neuseeland,706
63,2000,Nicaragua,100
64,2000,Niederlande,14338
65,2000,Niger,260
66,2000,Nigeria,2928
67,2000,Nordmazedonien,6822
68,2000,Norwegen,2028
69,2000,Pakistan,6876
70,2000,Paraguay,394
71,2000,Peru,2188
72,2000,Philippinen,3804
73,2000,Polen,148288
74,2000,Portugal,22424
75,2000,Ruanda,182
76,2000,Rumänien,48382
77,2000,Russische Föderation,64142
78,2000,Saudi-Arabien,538
79,2000,Schweden,6788
80,2000,Schweiz,8558
81,2000,Senegal,578
82,2000,Serbien,0
83,2000,Singapur,774
84,2000,Slowakei,21510
85,2000,Slowenien,3724
86,2000,Somalia,1120
87,2000,Spanien,18274
88,2000,Sudan (einschließlich Südsudan) (bis 08.07.2011),0
89,2000,Sudan (ohne Südsudan) (ab 09.07.2011),0
90,2000,Syrien,8602
91,2000,Südafrika,2690
92,2000,Südsudan (ab 09.07.2011),0
93,2000,Tadschikistan,180
94,2000,Tansania,324
95,2000,Thailand,11388
96,2000,Tschechien,22682
97,2000,Tunesien,4784
98,2000,Türkei,98228
99,2000,Uganda,386
100,2000,Ukraine,36392
101,2000,Unbekanntes Ausland,10178
102,2000,Ungarn,32098
